sec,hr,ve,vo2,vco2,fat,cho,rer
-13.0,81.0,23.691,887.5091787,878.1506044,229.0,6146.0,0.989455236605318
-10.0,81.0,18.759,452.6015734,471.9554208,0.0,3289.0,1.0427613347753333
-6.0,80.0,20.086,613.8666242,637.550257,0.0,4457.0,1.0385810726081823
-3.0,79.0,19.43,639.3667573,631.5716977,191.0,4400.0,0.9878081562561712
3.0,79.0,17.946,607.3870599,600.0168711,181.0,4181.0,0.9878657461006602
10.0,93.0,25.56,893.6142747,888.1767123,133.0,6292.0,0.993915090040582
13.0,102.0,16.79,644.8632648,570.0732493,1791.0,2734.0,0.8840219011030259
19.0,109.0,26.449,1110.9711586,978.1791273,3177.0,4611.0,0.8804721164252912
24.0,113.0,20.553,964.2308703,762.6237644,4726.0,1897.0,0.7909140724386119
29.0,117.0,29.341,1637.6953434,1196.5897202,10197.0,896.0,0.7306546513808694
33.0,118.0,24.923,1467.2839751,997.5704215,9820.0,0.0,0.6798754967878746
37.0,118.0,34.38,2129.0063957,1419.8729071,14206.0,0.0,0.6669181031901772
42.0,120.0,28.448,1655.2701822,1138.0948737,11099.0,0.0,0.6875583732121434
45.0,121.0,28.485,1759.0253011,1147.2350167,11696.0,0.0,0.6521992696651838
50.0,122.0,34.28,2286.2526834,1509.9868912,15231.0,0.0,0.6604636933457518
53.0,124.0,37.121,2477.2297209,1541.9246148,16355.0,0.0,0.6224390906467103
57.0,123.0,43.2,2475.7459652,1697.307226,16592.0,0.0,0.6855740652950575
60.0,120.0,34.174,1954.9011058,1358.6221319,13131.0,0.0,0.6949825379243488
63.0,118.0,37.18,2220.2485455,1545.1030941,14916.0,0.0,0.6959144719322595
66.0,118.0,41.222,2443.1155977,1730.5186892,16387.0,74.0,0.7083245225191744
70.0,117.0,42.526,2317.681097,1677.3672434,14778.0,895.0,0.7237265064512886
73.0,117.0,57.444,2673.6295798,2134.1841515,12668.0,5728.0,0.7982347919937537
76.0,116.0,42.255,2075.75731,1626.3161432,10518.0,3715.0,0.783480870025215
79.0,118.0,42.532,2104.4016863,1678.3474484,10003.0,4474.0,0.7975413911356929
82.0,120.0,27.062,1453.9446316,1103.5586983,8154.0,1760.0,0.7590101261872564
85.0,121.0,46.807,2462.2069267,1942.1047393,12187.0,4717.0,0.7887658499535322
88.0,120.0,42.465,2207.6406459,1722.0751601,11355.0,3771.0,0.7800522985016671
92.0,120.0,39.793,2000.8080681,1606.8795494,9261.0,4521.0,0.8031152887772585
95.0,121.0,49.909,2335.1953757,1974.9927904,8551.0,7692.0,0.8457505572988618
99.0,120.0,45.893,2105.1818742,1806.6664244,7107.0,7578.0,0.8581996864696357
102.0,121.0,40.302,1852.8942668,1574.7552683,6609.0,6291.0,0.8498894386562306
106.0,122.0,40.045,1903.149254,1613.9679043,6869.0,6376.0,0.8480511451783382
109.0,120.0,37.908,1833.8375413,1529.3950741,7208.0,5513.0,0.833986129990456
112.0,120.0,35.089,1798.2519,1470.3163382,7735.0,4693.0,0.8176364713975834
116.0,120.0,42.902,2145.8395112,1760.8205584,9088.0,5752.0,0.8205742084669282
119.0,120.0,40.048,2017.7160352,1631.1248061,9099.0,4816.0,0.8084015677351345
122.0,121.0,38.184,1938.8125083,1563.5752719,8828.0,4537.0,0.8064602766932747
124.0,123.0,34.746,1732.7942708,1379.6699531,8288.0,3628.0,0.7962110542199744
128.0,124.0,39.246,2082.8224458,1656.8770606,9996.0,4326.0,0.7954960654188664
131.0,125.0,45.398,2254.6493004,1846.580592,9628.0,5959.0,0.8190101190781183
135.0,126.0,39.289,2046.920829,1701.5900026,8171.0,6020.0,0.8312925338843186
