sec,hr,ve,vo2,vco2,fat,cho,rer
-18.0,77.0,18.642,927.5511392,668.3960213,5977.0,291.0,0.7206028789706219
-15.0,78.0,19.279,959.3977684,675.3103635,6458.0,0.0,0.703889862727348
-10.0,77.0,22.248,989.6481974,778.0545543,4955.0,1835.0,0.7861930697636816
-5.0,79.0,17.282,841.3481058,657.9195879,4291.0,1476.0,0.7819826102471746
0.0,79.0,46.205,1808.1352215,1550.5984033,6130.0,6480.0,0.8575677221826631
2.0,81.0,9.947,238.164301,197.591731,960.0,691.0,0.8296446199970163
6.0,85.0,23.782,968.5375362,847.8349589,2885.0,3898.0,0.8753764590543702
12.0,90.0,22.013,880.0413675,794.3166407,2061.0,4139.0,0.90259011682198
15.0,92.0,44.568,1716.6953384,1539.2746133,4261.0,7818.0,0.8966498474532119
19.0,99.0,40.855,1618.2879791,1475.642145,3437.0,7988.0,0.9118538628833346
24.0,104.0,23.047,969.1015474,840.2224458,3074.0,3699.0,0.8670117678113616
27.0,107.0,32.799,1331.8160275,1143.9270655,4474.0,4818.0,0.8589227354826979
32.0,103.0,24.543,1003.8967602,870.6261484,3179.0,3838.0,0.867246695991479
34.0,102.0,24.712,1104.5312176,906.8093159,4667.0,2972.0,0.8209902096478328
36.0,102.0,33.402,1566.0958675,1238.3915904,7682.0,3075.0,0.7907508193459939
38.0,103.0,24.435,1093.9862524,860.8903384,5459.0,2048.0,0.7869297594109328
40.0,103.0,30.74,1491.2504473,1155.9148163,7833.0,2373.0,0.7751312453202307
43.0,101.0,29.231,1403.3820924,1071.752047,7726.0,1853.0,0.7636922637135397
46.0,99.0,46.038,1983.9018207,1615.7052866,8678.0,5022.0,0.8144078853810994
50.0,100.0,16.122,768.0606798,599.2639106,3947.0,1315.0,0.780229904173777
53.0,101.0,48.337,2182.4488723,1734.3330624,10514.0,4490.0,0.7946729402976814
56.0,102.0,38.934,1689.4512251,1391.7003818,7033.0,4659.0,0.8237588402219923
60.0,104.0,31.603,1438.3161868,1220.6354508,5171.0,4840.0,0.8486558532833443
64.0,102.0,21.454,1070.5439488,844.8136425,5290.0,2061.0,0.7891442882349419
68.0,106.0,32.885,1745.4593452,1342.1753512,9406.0,2522.0,0.7689525137843927
71.0,106.0,36.477,1794.5246875,1420.0877497,8779.0,3549.0,0.7913447831572392
75.0,102.0,36.499,1737.6130493,1436.7257964,7112.0,4922.0,0.8268387469688876
78.0,101.0,29.231,1381.9522065,1133.3194867,5868.0,3688.0,0.8200858766095106
81.0,103.0,33.336,1599.4023645,1303.9181646,6966.0,4082.0,0.8152533680964181
85.0,101.0,36.801,1689.9625756,1426.581244,6250.0,5500.0,0.844149606977841
