sec,hr,ve,vo2,vco2,fat,cho,rer
-14.0,95.0,30.073,1231.7847012,1045.6442704,4422.0,4152.0,0.8488855799080289
-10.0,93.0,32.335,1386.3530754,1199.3748153,4458.0,5227.0,0.8651294079280258
-8.0,96.0,30.905,1257.4011862,1099.9420825,3763.0,5041.0,0.8747741727714937
-4.0,98.0,36.778,1579.2152826,1415.8381437,3923.0,7188.0,0.8965453661067554
-1.0,96.0,22.079,854.1700189,756.5417909,2339.0,3657.0,0.8857039865134513
0.0,97.0,19.529,500.892402,368.6785005,3060.0,337.0,0.7360433079597801
2.0,97.0,26.82,1412.7105443,1142.3409558,6364.0,3379.0,0.8086164291822651
5.0,98.0,38.83,1866.2254395,1529.0690743,7956.0,4947.0,0.8193378152157592
9.0,100.0,44.175,1796.1262268,1621.9214117,4189.0,8467.0,0.9030108171125781
11.0,98.0,37.941,1465.1123891,1327.9571098,3301.0,7031.0,0.9063858306568189
14.0,98.0,37.339,1415.9090922,1319.1135162,2343.0,7698.0,0.9316371534491655
16.0,97.0,37.148,1345.7426767,1236.9579816,2626.0,6891.0,0.9191638215957011
18.0,96.0,31.976,1188.783185,1104.6880888,2034.0,6392.0,0.929259517411495
21.0,96.0,34.899,1319.6480635,1207.9496814,2694.0,6631.0,0.9153574462847685
24.0,96.0,38.919,1576.2500132,1472.1419399,2521.0,8663.0,0.9339520555570707
26.0,99.0,40.524,1503.7030343,1364.0601675,3361.0,7244.0,0.9071340127573753
29.0,99.0,42.036,1472.1432742,1439.5396403,797.0,9751.0,0.9778529478268903
31.0,98.0,72.862,2569.0515228,2506.3010906,1534.0,16864.0,0.975574474998614
32.0,98.0,51.699,1582.9187742,1548.9140745,832.0,10511.0,0.9785177229215783
34.0,100.0,39.279,1194.8007431,1216.999527,0.0,8638.0,1.0185794861847872
36.0,100.0,42.551,1397.0358534,1440.8538899,0.0,10128.0,1.0313650049806231
38.0,101.0,49.655,1672.8030938,1719.9441866,0.0,12119.0,1.0281808976649562
40.0,101.0,39.153,1293.5294127,1341.3927192,0.0,9389.0,1.037002101405715
42.0,100.0,39.184,1367.3564427,1402.5467218,0.0,9901.0,1.0257359953857481
44.0,100.0,36.562,1254.5682243,1265.4534362,0.0,9050.0,1.008676460705095
47.0,103.0,36.143,1347.9786916,1326.4661516,527.0,9145.0,0.984040890160908
49.0,103.0,37.286,1389.6222028,1353.2328155,889.0,9059.0,0.9738134672670905
51.0,104.0,38.622,1525.713793,1455.4925522,1708.0,9166.0,0.953974827308912
54.0,105.0,42.222,1598.2382955,1565.6233286,798.0,10658.0,0.9795931764419419
57.0,104.0,40.735,1562.3212421,1493.5819867,1673.0,9467.0,0.9560018429323768
59.0,104.0,43.235,1646.1412768,1599.6634065,1135.0,10644.0,0.9717655641377573
61.0,105.0,38.701,1469.0422656,1416.9384463,1270.0,9224.0,0.9645321169308091
64.0,104.0,42.977,1631.8268713,1568.9894722,1531.0,10119.0,0.9614926067187872
66.0,103.0,41.81,1565.3649383,1525.5286799,973.0,10234.0,0.9745514560692394
68.0,103.0,39.764,1484.8600346,1447.2790087,918.0,9713.0,0.9746905263632314
70.0,105.0,39.991,1510.1738916,1476.9259375,813.0,10008.0,0.977984022710938
72.0,105.0,45.065,1796.8744356,1723.6591705,1783.0,11039.0,0.9592541005373297
75.0,104.0,40.94,1560.9624197,1505.9585214,1341.0,9811.0,0.9647628299017147
77.0,104.0,41.636,1558.9640833,1511.3912841,1161.0,9988.0,0.9694843520068156
79.0,104.0,40.87,1525.378894,1499.1630985,642.0,10299.0,0.9828135844785066
83.0,105.0,42.776,1532.1315162,1600.673169,0.0,11140.0,1.044736141822862
86.0,104.0,36.773,1315.0587358,1333.1639096,0.0,9497.0,1.0137675780610558
89.0,104.0,37.854,1485.1241287,1495.6754363,0.0,10710.0,1.0071046637759742
91.0,106.0,44.324,1760.9574487,1656.4204988,2535.0,9978.0,0.9406362998849445
93.0,107.0,43.58,1719.9016579,1649.2224884,1721.0,10550.0,0.958905109966404
95.0,109.0,45.081,1692.2328303,1648.4162157,1071.0,11044.0,0.9741072186903311
98.0,108.0,39.42,1527.5060605,1533.1380447,0.0,11007.0,1.0036870454040334
101.0,106.0,44.598,1632.7199299,1629.5030306,79.0,11671.0,0.9980297298752292
103.0,105.0,42.244,1478.5194452,1491.0935317,0.0,10665.0,1.0085045120920266
