sec,hr,ve,vo2,vco2,fat,cho,rer
-29.0,101.0,27.551,694.1952988,579.9576095,2706.0,2112.0,0.8354386877907793
-27.0,102.0,20.337,629.3373847,539.8594887,2130.0,2259.0,0.8578220551085594
-24.0,101.0,27.091,860.2546634,707.4621456,3608.0,2344.0,0.8223868764673528
-23.0,100.0,22.889,742.7769903,582.4672227,3752.0,1342.0,0.7841751027650271
-21.0,99.0,20.623,607.9748063,497.3076944,2611.0,1592.0,0.817974181243635
-19.0,97.0,16.439,474.5413738,385.9110857,2088.0,1188.0,0.8132295875694201
-12.0,103.0,11.191,293.1445313,238.5021075,1288.0,736.0,0.8135990340407213
-7.0,104.0,37.007,1231.533646,1042.6447027,4485.0,4083.0,0.8466229940907354
-6.0,104.0,21.097,641.0148933,551.9699018,2121.0,2353.0,0.8610874841899714
-4.0,106.0,17.929,586.750083,491.2424983,2263.0,1810.0,0.8372261249428745
-2.0,108.0,15.533,450.2600919,364.8585956,2011.0,1096.0,0.8103285238102622
1.0,109.0,28.739,956.9679355,853.715076,2477.0,4250.0,0.8921041597427691
4.0,110.0,22.184,768.1739695,662.0725751,2528.0,2835.0,0.8618784303911511
6.0,112.0,26.254,914.7818665,754.4852172,3787.0,2545.0,0.8247706309337954
9.0,116.0,24.218,926.6128451,736.9530734,4451.0,1920.0,0.7953192935939368
11.0,115.0,26.478,1001.8595166,782.3236699,5135.0,1731.0,0.7808716261487075
13.0,115.0,26.841,1046.9484001,828.0194421,5132.0,2059.0,0.7908884927097755
15.0,115.0,26.649,985.5321179,786.4915828,4674.0,2107.0,0.7980374951918144
18.0,116.0,29.508,1139.107002,913.1907945,5309.0,2534.0,0.8016725319892293
20.0,117.0,30.08,1122.4518468,888.8173315,5478.0,2233.0,0.7918534180632611
23.0,119.0,29.409,1151.1453471,930.2516371,5199.0,2739.0,0.8081096270280013
25.0,119.0,29.426,1162.9045954,932.4480513,5416.0,2592.0,0.8018267835456176
30.0,119.0,29.73,1096.8684403,936.0220943,3825.0,3818.0,0.8533585796706782
32.0,119.0,31.622,1195.4206826,968.1322691,5352.0,2895.0,0.8098674242395947
35.0,121.0,33.799,1334.3283115,1076.0945865,6075.0,3123.0,0.8064691254960307
38.0,122.0,31.037,1268.1425389,1016.8702717,5905.0,2827.0,0.80185802503088
40.0,122.0,32.009,1252.2876919,955.4948003,6913.0,1633.0,0.7629994341398509
42.0,124.0,33.199,1374.8293137,1079.4774575,6915.0,2516.0,0.7851719822549197
45.0,125.0,36.199,1460.9466089,1156.3607921,7141.0,2895.0,0.7915147515011971
48.0,129.0,32.397,1270.8422397,1038.789067,5473.0,3309.0,0.8174020618367396
50.0,127.0,35.488,1429.8008086,1130.8000246,7009.0,2812.0,0.7908794132710214
52.0,128.0,34.03,1436.2589224,1098.5781491,7869.0,1937.0,0.7648886506231531
55.0,128.0,35.699,1510.7530849,1203.4452829,7214.0,3177.0,0.7965863481785699
58.0,128.0,35.44,1431.6575724,1114.167364,7421.0,2384.0,0.7782359311886526
61.0,129.0,38.491,1569.7849251,1266.7537747,7130.0,3692.0,0.8069600837957492
63.0,131.0,40.408,1580.949071,1308.1110833,6450.0,4501.0,0.8274213934498084
65.0,132.0,35.038,1333.0828859,1111.4545833,5247.0,4000.0,0.8337475449245056
68.0,134.0,39.011,1554.8116853,1302.2345863,5985.0,4810.0,0.837551324454276
70.0,134.0,37.87,1474.5034544,1221.218463,5989.0,4226.0,0.8282235347471153
73.0,135.0,38.079,1549.8045993,1293.5696133,6068.0,4685.0,0.8346662630142317
75.0,135.0,42.319,1785.7354485,1472.2009602,7407.0,4954.0,0.8244227673458765
79.0,135.0,36.101,1428.7322003,1231.7536961,4694.0,5281.0,0.8621305629154021
82.0,134.0,35.464,1446.4647179,1217.8021667,5424.0,4629.0,0.841916260818324
85.0,134.0,36.328,1497.7317873,1262.2553502,5586.0,4824.0,0.8427779665914019
89.0,131.0,31.95,1340.3474879,1160.4962259,4289.0,5077.0,0.8658174364307695
93.0,129.0,30.042,1337.7069856,1127.8049,4980.0,4319.0,0.8430881442202734
95.0,127.0,35.91,1597.878544,1307.5959667,6848.0,4197.0,0.8183325144517367
98.0,128.0,42.694,1845.3904435,1523.6342256,7603.0,5174.0,0.8256432837650598
100.0,128.0,40.139,1636.7011115,1349.1844187,6792.0,4537.0,0.8243315833417517
103.0,130.0,41.453,1675.5843036,1442.4740342,5553.0,6142.0,0.8608782208694832
106.0,131.0,35.261,1322.4365119,1158.3566682,3922.0,5340.0,0.8759261089485049
108.0,133.0,40.234,1619.1867414,1405.7375378,5093.0,6227.0,0.8681750547095974
111.0,134.0,39.507,1575.681134,1397.3880638,4272.0,6790.0,0.8868469855018268
114.0,132.0,39.252,1550.7807403,1369.8354963,4332.0,6547.0,0.8833199050660147
116.0,132.0,39.457,1512.6962175,1354.2298967,3804.0,6836.0,0.8952424690650089
119.0,133.0,40.121,1484.6506401,1370.0644694,2768.0,7740.0,0.9228194380515797
123.0,131.0,34.68,1333.9644647,1238.4025332,2311.0,7142.0,0.9283624608984684
125.0,131.0,35.031,1368.4604107,1221.9620688,3515.0,6106.0,0.8929465984148839
127.0,132.0,40.157,1533.8458219,1363.5587114,4082.0,6692.0,0.8889802951061518
130.0,131.0,27.635,1152.3132549,1057.2503047,2294.0,5852.0,0.9175025108877622
133.0,133.0,40.283,1596.9156452,1435.3135275,3883.0,7359.0,0.8988035979322122
136.0,133.0,39.733,1633.8171979,1463.6694062,4085.0,7409.0,0.8958587338175306
140.0,131.0,35.485,1413.550992,1286.3863753,3063.0,6913.0,0.9100388897042351
142.0,128.0,44.839,1787.071326,1597.6742658,4546.0,8021.0,0.8940181863787569
145.0,130.0,45.0,1755.1021296,1603.4880369,3655.0,8742.0,0.9136152306221896
147.0,129.0,42.121,1563.7862407,1448.0874772,2797.0,8279.0,0.9260136964447202
150.0,129.0,43.836,1560.138944,1492.5046611,1646.0,9480.0,0.9566485516177206
152.0,129.0,41.209,1485.1890515,1396.8714243,2142.0,8412.0,0.9405344207790909
155.0,131.0,41.602,1491.6080502,1395.833714,2320.0,8268.0,0.9357912179495423
157.0,132.0,43.85,1570.0225706,1491.0158277,1920.0,9259.0,0.9496779572603171
160.0,132.0,41.605,1487.9948239,1393.281954,2295.0,8269.0,0.936348656340242
162.0,132.0,37.205,1444.4982266,1341.5792954,2489.0,7748.0,0.9287510851140011
166.0,133.0,35.693,1266.9394247,1228.4546497,939.0,8122.0,0.969623823957398
168.0,130.0,43.971,1671.0517883,1534.2018841,3302.0,8513.0,0.9181055278129826
171.0,131.0,44.053,1696.5503285,1574.8735745,2943.0,9080.0,0.9282799030739157
173.0,131.0,44.03,1651.154241,1530.2856526,2922.0,8775.0,0.9267975181247771
176.0,133.0,39.777,1500.9238871,1382.4628909,2860.0,7759.0,0.9210746146302704
179.0,134.0,39.989,1447.592964,1395.7404689,1264.0,9076.0,0.9641801967890747
182.0,133.0,39.861,1474.8133544,1378.861752,2324.0,8143.0,0.9349398334957199
184.0,134.0,44.212,1714.15627,1604.5693903,2655.0,9513.0,0.9360694928356794
187.0,132.0,39.759,1509.5675823,1392.5490328,2827.0,7857.0,0.9224820730969139
190.0,133.0,41.735,1572.2195553,1469.3575547,2491.0,8666.0,0.9345752950004668
192.0,135.0,41.636,1554.3476851,1454.335477,2423.0,8610.0,0.9356564756658253
195.0,137.0,43.253,1597.6434794,1494.536246,2498.0,8842.0,0.9354629272866796
197.0,137.0,44.148,1671.0045789,1557.5954952,2745.0,9106.0,0.9321311951313408
199.0,138.0,46.896,1745.892619,1645.4297051,2437.0,9974.0,0.9424575642243437
201.0,138.0,46.707,1680.4814659,1601.2992039,1926.0,10048.0,0.952881204817339
204.0,139.0,45.425,1602.4246837,1533.3189627,1682.0,9746.0,0.9568742782715784
206.0,140.0,44.833,1594.7857509,1551.4004884,1060.0,10354.0,0.9727955542144041
209.0,140.0,44.882,1629.2786654,1555.5642353,1793.0,9821.0,0.9547564013048054
211.0,140.0,45.361,1623.5237648,1591.0556539,794.0,10844.0,0.9800014563359349
214.0,140.0,43.756,1574.9624408,1540.6407352,839.0,10446.0,0.9782079212107647
216.0,139.0,43.525,1570.5300675,1505.6110526,1581.0,9624.0,0.9586642648597365
218.0,138.0,46.307,1651.0398498,1593.960308,1392.0,10405.0,0.9654281259129425
222.0,138.0,39.15,1377.6454144,1377.2788453,9.0,9909.0,0.9997339162195379
