sec,hr,ve,vo2,vco2,fat,cho,rer
-14.0,77.0,24.345,819.9300357,708.3255554,2660.0,3066.0,0.8638853616275689
-11.0,77.0,26.655,1069.3022393,919.8626411,3559.0,3903.0,0.8602456885362664
-9.0,78.0,24.615,875.0368317,805.5131159,1679.0,4512.0,0.9205476692164706
-6.0,81.0,18.136,509.3713081,491.9233012,426.0,3214.0,0.9657459958530397
-3.0,84.0,17.981,531.5246151,537.4392751,0.0,3836.0,1.011127725474929
0.0,81.0,14.761,402.9741346,413.1240588,0.0,2917.0,1.0251875327186322
3.0,81.0,13.101,379.1006782,365.5523506,330.0,2378.0,0.9642619272950697
5.0,86.0,13.048,456.5401262,425.5615948,750.0,2488.0,0.9321449975101883
11.0,91.0,30.37,1176.2460081,1101.464913,1812.0,6539.0,0.9364239329315179
14.0,91.0,22.264,857.2915289,779.4333887,1875.0,4174.0,0.909181255646022
17.0,91.0,20.855,839.9445752,729.23564,2642.0,3231.0,0.8681949518232925
21.0,95.0,37.55,1431.8795683,1339.2447207,2244.0,7919.0,0.9353054197777395
23.0,108.0,34.403,1331.981921,1221.7810351,2659.0,6757.0,0.9172654792361855
26.0,110.0,30.448,1168.4664546,1051.6643968,2807.0,5421.0,0.9000381591271402
28.0,112.0,35.04,1432.9398072,1262.8605702,4070.0,5977.0,0.8813074798080046
30.0,112.0,39.345,1621.7047764,1412.1663276,5003.0,6342.0,0.8707912489071213
33.0,113.0,36.444,1440.8981106,1272.5279639,4031.0,6077.0,0.8831491654674393
35.0,113.0,35.918,1471.5868713,1286.2711916,4428.0,5874.0,0.8740708528227817
39.0,115.0,47.438,1705.2841005,1660.7746782,1087.0,11120.0,0.9738991161138782
42.0,115.0,23.706,950.0899952,861.0820082,2142.0,4558.0,0.9063162569338884
47.0,120.0,19.543,949.3578375,827.7496609,2904.0,3739.0,0.871904805757713
49.0,121.0,8.131,146.0129659,112.4203889,784.0,214.0,0.7699342877330047
52.0,122.0,93.441,4343.7349584,2488.5346017,28336.0,0.0,0.5729020360433417
