sec,hr,ve,vo2,vco2,fat,cho,rer
-106.0,74.0,13.033,347.8542964,320.9958228,649.0,1813.0,0.9227881504470041
-102.0,73.0,33.157,1149.5042841,1110.8847095,942.0,7273.0,0.9664032791054477
-99.0,75.0,15.995,505.2876255,513.4694799,0.0,3651.0,1.0161924693720805
-95.0,75.0,13.705,415.4395588,435.4628102,0.0,3023.0,1.0481977485674145
-91.0,71.0,13.717,439.9472614,452.2125954,0.0,3187.0,1.0278791006925905
-88.0,70.0,19.025,665.4312985,683.9916576,0.0,4821.0,1.0278922243991804
-85.0,68.0,17.624,521.9045288,527.120425,0.0,3766.0,1.0099939661608086
-79.0,69.0,15.906,516.7624066,543.5151371,0.0,3763.0,1.0517698852670372
-73.0,66.0,14.593,543.8823126,562.0525096,0.0,3945.0,1.0334083248876735
-70.0,65.0,14.034,469.6342394,460.7699822,217.0,3150.0,0.9811251896554116
-65.0,69.0,17.52,566.910047,584.4892716,0.0,4110.0,1.031008842924952
-58.0,68.0,15.266,474.5110562,459.0268421,378.0,3014.0,0.9673680646685004
-54.0,70.0,12.58,333.8248381,337.4040116,0.0,2409.0,1.0107217111835394
-51.0,73.0,7.692,75.2597868,84.052565,0.0,556.0,1.116832355948157
-50.0,73.0,66.735,2215.255816,1285.475853,14477.0,0.0,0.5802832538415961
-46.0,73.0,38.207,1041.1059108,1209.2905374,0.0,7762.0,1.1615442049222107
-42.0,70.0,27.685,632.5107947,771.0391618,0.0,4774.0,1.2190134433447954
-39.0,67.0,25.7,564.3389974,706.4457474,0.0,4288.0,1.251810969390222
-36.0,66.0,33.818,707.9213012,907.315703,0.0,5413.0,1.2816618195581992
-32.0,64.0,26.299,559.2472283,734.4139612,0.0,4304.0,1.3132187770200883
-30.0,63.0,17.972,430.8620883,528.0566784,0.0,3256.0,1.2255816715819414
-21.0,68.0,13.831,412.997549,493.4485532,0.0,3101.0,1.1947977763906779
-14.0,74.0,15.412,449.0528557,457.1474185,0.0,3246.0,1.018025857529359
-10.0,78.0,10.27,260.4987234,251.2957262,224.0,1637.0,0.9646716226479595
-6.0,76.0,10.109,349.319009,325.6803164,572.0,1905.0,0.9323292120068964
-3.0,74.0,8.946,267.9046974,234.6573291,795.0,1082.0,0.8758985242787312
1.0,76.0,4.065,111.5606335,99.5278995,289.0,496.0,0.8921417562584925
6.0,73.0,27.6,1463.007759,1258.1373168,4879.0,5330.0,0.8599662640613513
8.0,73.0,11.232,209.3718958,181.7799323,658.0,805.0,0.8682155339207661
11.0,80.0,31.111,1077.7373392,1064.4208691,326.0,7412.0,0.9876440486789807
13.0,90.0,17.723,592.0687455,568.1813411,582.0,3643.0,0.9596543398354408
18.0,95.0,13.02,542.3158455,493.7739783,1169.0,2658.0,0.9104915196507936
21.0,96.0,13.346,601.0764881,461.5986795,3252.0,854.0,0.7679533114980279
26.0,103.0,40.677,1666.1734273,1439.2601481,5409.0,6228.0,0.8638117284299099
