sec,speed,cadence,power,altitude
0.0,0.0,0.0,0.0,50.0
1.0,0.0,0.0,0.0,50.0
2.0,2.1996,0.0,0.0,50.0
3.0,3.1968,0.0,0.0,50.0
4.0,5.1984,0.0,0.0,50.0
5.0,7.0992,0.0,0.0,50.0
6.0,8.6976,0.0,0.0,50.0
7.0,10.1988,52.0,288.0,50.0
8.0,11.0988,52.0,288.0,50.0
9.0,11.4984,68.0,182.0,50.0
10.0,11.5992,71.0,110.0,50.0
11.0,11.7972,72.0,92.0,50.0
12.0,11.898000000000001,72.0,87.0,50.0
13.0,12.1968,73.0,75.0,50.0
14.0,12.2976,75.0,147.0,50.0
15.0,12.3984,76.0,90.0,50.0
16.0,12.4992,77.0,81.0,50.0
17.0,12.4992,77.0,79.0,50.0
18.0,12.4992,77.0,68.0,50.0
19.0,12.6972,77.0,70.0,50.0
20.0,12.898800000000001,78.0,84.0,50.0
21.0,13.1976,80.0,130.0,50.0
22.0,13.5972,81.0,138.0,50.0
23.0,13.698,84.0,128.0,50.0
24.0,13.899600000000001,85.0,102.0,50.0
25.0,14.0976,85.0,111.0,50.0
26.0,14.2992,87.0,126.0,50.0
27.0,14.4,88.0,119.0,50.0
28.0,14.497200000000001,89.0,101.0,50.0
29.0,14.497200000000001,89.0,101.0,50.0
30.0,14.597999999999999,90.0,94.0,50.0
31.0,14.7996,90.0,100.0,50.0
32.0,14.8968,91.0,110.0,50.0
33.0,14.8968,92.0,101.0,50.0
34.0,15.0984,92.0,104.0,50.0
35.0,15.199200000000001,93.0,106.0,50.0
36.0,15.3,94.0,93.0,50.0
37.0,15.3,94.0,102.0,50.0
38.0,15.0984,94.0,82.0,50.0
39.0,14.997600000000002,94.0,39.0,50.0
40.0,14.6988,93.0,38.0,50.0
41.0,14.497200000000001,91.0,21.0,50.0
42.0,14.4,90.0,17.0,50.0
43.0,14.1984,89.0,46.0,50.0
44.0,14.0976,88.0,50.0,50.0
45.0,13.899600000000001,87.0,51.0,50.0
46.0,13.798800000000002,87.0,46.0,50.0
47.0,13.5972,85.0,47.0,50.0
48.0,13.5,85.0,48.0,50.0
49.0,13.5,84.0,58.0,50.0
50.0,13.5,84.0,89.0,50.0
51.0,13.3992,84.0,60.0,50.0
52.0,13.1976,83.0,52.0,50.0
53.0,13.0968,82.0,49.0,50.0
54.0,13.0968,82.0,52.0,50.0
55.0,13.0968,81.0,90.0,50.0
56.0,12.999600000000001,81.0,57.0,50.0
57.0,13.0968,81.0,55.0,50.0
58.0,13.5972,82.0,156.0,50.0
59.0,13.798800000000002,84.0,164.0,50.0
60.0,13.899600000000001,85.0,107.0,50.0
61.0,13.899600000000001,86.0,89.0,50.0
62.0,13.9968,86.0,91.0,50.0
63.0,14.0976,87.0,95.0,50.0
64.0,14.0976,87.0,88.0,50.0
65.0,14.0976,87.0,69.0,50.0
66.0,14.1984,88.0,79.0,50.0
67.0,14.1984,88.0,79.0,50.0
68.0,14.0976,88.0,72.0,50.0
69.0,14.1984,87.0,65.0,50.0
70.0,14.1984,88.0,93.0,50.0
71.0,14.1984,88.0,71.0,50.0
72.0,14.1984,88.0,85.0,50.0
73.0,14.2992,88.0,80.0,50.0
74.0,14.4,88.0,107.0,50.0
75.0,14.4,89.0,93.0,50.0
76.0,14.4,89.0,90.0,50.0
77.0,14.4,89.0,66.0,50.0
78.0,14.2992,89.0,57.0,50.0
79.0,14.1984,89.0,57.0,50.0
80.0,14.0976,88.0,55.0,50.0
81.0,14.0976,88.0,54.0,50.0
82.0,14.0976,88.0,74.0,50.0
83.0,14.0976,87.0,71.0,50.0
84.0,14.0976,87.0,77.0,50.0
85.0,14.0976,87.0,79.0,50.0
86.0,14.1984,87.0,69.0,50.0
87.0,14.1984,88.0,83.0,50.0
88.0,14.0976,88.0,76.0,50.0
89.0,14.0976,87.0,61.0,50.0
90.0,13.9968,87.0,69.0,50.0
91.0,13.9968,87.0,56.0,50.0
92.0,13.9968,87.0,62.0,50.0
93.0,13.9968,86.0,75.0,50.0
94.0,14.0976,87.0,95.0,50.0
95.0,14.0976,87.0,80.0,50.0
96.0,14.0976,87.0,81.0,50.0
97.0,14.0976,87.0,86.0,50.0
98.0,14.0976,88.0,74.0,50.0
99.0,14.1984,88.0,71.0,50.0
100.0,14.0976,88.0,71.0,50.0
101.0,14.0976,88.0,71.0,50.0
102.0,14.0976,87.0,68.0,50.0
103.0,14.0976,87.0,82.0,50.0
104.0,14.0976,88.0,79.0,50.0
105.0,14.0976,88.0,71.0,50.0
106.0,14.0976,87.0,61.0,50.0
107.0,13.9968,87.0,62.0,50.0
108.0,13.9968,87.0,68.0,50.0
109.0,13.9968,87.0,64.0,50.0
110.0,13.9968,86.0,66.0,50.0
111.0,13.9968,87.0,72.0,50.0
112.0,13.9968,87.0,72.0,50.0
113.0,13.9968,86.0,69.0,50.0
114.0,13.899600000000001,86.0,65.0,50.0
115.0,13.899600000000001,86.0,78.0,50.0
116.0,13.9968,86.0,64.0,50.0
117.0,13.9968,86.0,76.0,50.0
118.0,13.899600000000001,86.0,62.0,50.0
119.0,13.899600000000001,86.0,66.0,50.0
120.0,13.899600000000001,86.0,71.0,50.0
121.0,13.899600000000001,86.0,70.0,50.0
122.0,13.9968,86.0,77.0,50.0
123.0,13.9968,86.0,74.0,50.0
124.0,13.9968,86.0,81.0,50.0
125.0,13.899600000000001,86.0,64.0,50.0
126.0,13.899600000000001,86.0,75.0,50.0
127.0,13.9968,86.0,72.0,50.0
128.0,13.9968,86.0,80.0,50.0
129.0,13.9968,87.0,81.0,50.0
130.0,14.0976,87.0,73.0,50.0
131.0,14.0976,87.0,76.0,50.0
132.0,13.9968,87.0,75.0,50.0
133.0,14.0976,87.0,65.0,50.0
134.0,13.9968,87.0,75.0,50.0
135.0,13.9968,87.0,71.0,50.0
136.0,13.9968,87.0,67.0,50.0
137.0,13.9968,87.0,64.0,50.0
138.0,13.9968,87.0,73.0,50.0
139.0,13.9968,87.0,81.0,50.0
140.0,13.9968,87.0,60.0,50.0
141.0,13.899600000000001,86.0,64.0,50.0
142.0,13.899600000000001,86.0,60.0,50.0
143.0,13.9968,86.0,85.0,50.0
144.0,14.0976,86.0,113.0,50.0
145.0,14.0976,87.0,99.0,50.0
146.0,14.1984,87.0,88.0,50.0
147.0,14.1984,88.0,67.0,50.0
148.0,14.1984,88.0,73.0,50.0
149.0,14.1984,88.0,68.0,50.0
150.0,14.1984,88.0,86.0,50.0
151.0,14.1984,88.0,64.0,50.0
152.0,14.1984,88.0,77.0,50.0
153.0,14.0976,88.0,63.0,50.0
154.0,14.1984,88.0,71.0,50.0
155.0,14.1984,88.0,83.0,50.0
156.0,14.1984,88.0,72.0,50.0
157.0,14.1984,88.0,81.0,50.0
