sec,speed,cadence,power,altitude
0.0,0.3996,0.0,0.0,50.0
1.0,0.3996,0.0,0.0,50.0
2.0,1.6992,0.0,0.0,50.0
3.0,2.7,0.0,0.0,50.0
4.0,4.9967999999999995,0.0,0.0,50.0
5.0,6.7968,0.0,0.0,50.0
6.0,8.5968,0.0,0.0,50.0
7.0,10.1988,52.0,285.0,50.0
8.0,11.1996,52.0,285.0,50.0
9.0,11.700000000000001,62.0,257.0,50.0
10.0,11.998800000000001,72.0,157.0,50.0
11.0,12.1968,74.0,116.0,50.0
12.0,12.3984,75.0,106.0,50.0
13.0,12.4992,76.0,91.0,50.0
14.0,12.6,77.0,77.0,50.0
15.0,12.798,78.0,85.0,50.0
16.0,12.999600000000001,79.0,108.0,50.0
17.0,13.0968,80.0,90.0,50.0
18.0,13.1976,81.0,88.0,50.0
19.0,13.2984,81.0,81.0,50.0
20.0,13.2984,82.0,78.0,50.0
21.0,13.3992,82.0,75.0,50.0
22.0,13.5,83.0,86.0,50.0
23.0,13.5,83.0,89.0,50.0
24.0,13.5972,83.0,69.0,50.0
25.0,13.5972,84.0,84.0,50.0
26.0,13.5972,84.0,65.0,50.0
27.0,13.5972,84.0,79.0,50.0
28.0,13.5972,84.0,62.0,50.0
29.0,13.5,84.0,69.0,50.0
30.0,13.5,84.0,55.0,50.0
31.0,13.5,84.0,53.0,50.0
32.0,13.5,84.0,67.0,50.0
33.0,13.5,83.0,85.0,50.0
34.0,13.5,84.0,85.0,50.0
35.0,13.5972,84.0,74.0,50.0
36.0,13.5972,84.0,79.0,50.0
37.0,13.5,84.0,76.0,50.0
38.0,13.5972,84.0,69.0,50.0
39.0,13.698,84.0,76.0,50.0
40.0,13.698,85.0,95.0,50.0
41.0,13.798800000000002,85.0,79.0,50.0
42.0,13.9968,85.0,89.0,50.0
43.0,13.9968,86.0,129.0,50.0
44.0,14.0976,87.0,91.0,50.0
45.0,14.0976,87.0,93.0,50.0
46.0,14.0976,87.0,81.0,50.0
47.0,14.2992,88.0,96.0,50.0
48.0,14.4,88.0,117.0,50.0
49.0,14.497200000000001,89.0,91.0,50.0
50.0,14.497200000000001,89.0,89.0,50.0
51.0,14.497200000000001,90.0,78.0,50.0
52.0,14.597999999999999,90.0,82.0,50.0
53.0,14.597999999999999,90.0,78.0,50.0
54.0,14.597999999999999,90.0,78.0,50.0
55.0,14.597999999999999,90.0,70.0,50.0
56.0,14.6988,90.0,90.0,50.0
57.0,14.7996,91.0,99.0,50.0
58.0,14.8968,92.0,95.0,50.0
59.0,14.997600000000002,92.0,89.0,50.0
60.0,15.0984,93.0,109.0,50.0
61.0,15.0984,93.0,84.0,50.0
62.0,15.0984,94.0,72.0,50.0
63.0,15.0984,93.0,83.0,50.0
64.0,15.0984,94.0,76.0,50.0
65.0,15.0984,93.0,66.0,50.0
66.0,15.199200000000001,94.0,88.0,50.0
67.0,15.199200000000001,94.0,90.0,50.0
68.0,15.0984,94.0,80.0,50.0
69.0,15.0984,94.0,58.0,50.0
70.0,15.199200000000001,94.0,71.0,50.0
71.0,15.199200000000001,94.0,141.0,50.0
72.0,15.199200000000001,94.0,79.0,50.0
73.0,15.3,94.0,86.0,50.0
74.0,15.498,95.0,119.0,50.0
75.0,15.5988,96.0,107.0,50.0
76.0,15.6996,96.0,120.0,50.0
77.0,15.7968,97.0,106.0,50.0
78.0,15.897600000000002,98.0,138.0,50.0
79.0,16.099200000000003,99.0,103.0,50.0
80.0,16.2,100.0,109.0,50.0
81.0,16.2,100.0,111.0,50.0
82.0,16.2,101.0,79.0,50.0
83.0,16.2,101.0,84.0,50.0
84.0,16.2,101.0,74.0,50.0
85.0,16.2972,101.0,101.0,50.0
86.0,16.2972,101.0,98.0,50.0
87.0,16.398,101.0,107.0,50.0
88.0,16.498800000000003,102.0,110.0,50.0
89.0,16.398,102.0,95.0,50.0
90.0,16.398,102.0,78.0,50.0
91.0,16.398,102.0,81.0,50.0
92.0,16.398,102.0,89.0,50.0
93.0,16.498800000000003,102.0,117.0,50.0
94.0,16.498800000000003,102.0,93.0,50.0
95.0,16.498800000000003,102.0,91.0,50.0
96.0,16.5996,102.0,95.0,50.0
97.0,16.5996,103.0,98.0,50.0
98.0,16.5996,103.0,84.0,50.0
99.0,16.498800000000003,103.0,80.0,50.0
100.0,16.498800000000003,102.0,82.0,50.0
101.0,16.498800000000003,102.0,74.0,50.0
102.0,16.398,102.0,77.0,50.0
103.0,16.498800000000003,102.0,86.0,50.0
104.0,16.498800000000003,102.0,83.0,50.0
105.0,16.5996,102.0,113.0,50.0
106.0,16.5996,102.0,104.0,50.0
107.0,16.6968,103.0,124.0,50.0
108.0,16.6968,103.0,83.0,50.0
109.0,16.797600000000003,103.0,122.0,50.0
110.0,16.797600000000003,104.0,97.0,50.0
111.0,16.797600000000003,104.0,106.0,50.0
112.0,16.8984,104.0,99.0,50.0
113.0,16.797600000000003,104.0,96.0,50.0
114.0,16.5996,103.0,48.0,50.0
115.0,16.398,103.0,36.0,50.0
116.0,16.2,101.0,18.0,50.0
117.0,15.9984,100.0,44.0,50.0
118.0,15.7968,99.0,34.0,50.0
119.0,15.5988,98.0,34.0,50.0
120.0,15.3,97.0,28.0,50.0
121.0,15.0984,96.0,32.0,50.0
122.0,14.8968,94.0,23.0,50.0
123.0,14.597999999999999,93.0,30.0,50.0
124.0,14.497200000000001,91.0,40.0,50.0
125.0,14.497200000000001,90.0,63.0,50.0
126.0,14.4,90.0,83.0,50.0
127.0,14.497200000000001,89.0,82.0,50.0
128.0,14.497200000000001,90.0,109.0,50.0
129.0,14.6988,90.0,109.0,50.0
130.0,14.7996,90.0,102.0,50.0
131.0,14.7996,91.0,113.0,50.0
132.0,14.7996,91.0,75.0,50.0
133.0,14.7996,91.0,72.0,50.0
134.0,14.7996,91.0,74.0,50.0
135.0,14.7996,91.0,81.0,50.0
136.0,14.7996,91.0,80.0,50.0
137.0,14.6988,92.0,81.0,50.0
138.0,14.7996,91.0,69.0,50.0
139.0,14.7996,91.0,79.0,50.0
140.0,14.7996,92.0,96.0,50.0
141.0,14.7996,92.0,73.0,50.0
142.0,14.7996,92.0,78.0,50.0
143.0,14.7996,92.0,83.0,50.0
144.0,14.7996,92.0,81.0,50.0
145.0,14.7996,92.0,68.0,50.0
146.0,14.7996,92.0,82.0,50.0
147.0,14.8968,92.0,81.0,50.0
148.0,14.8968,92.0,80.0,50.0
149.0,14.8968,92.0,83.0,50.0
150.0,14.8968,92.0,81.0,50.0
151.0,14.997600000000002,92.0,77.0,50.0
152.0,15.0984,93.0,107.0,50.0
153.0,15.199200000000001,93.0,99.0,50.0
154.0,15.199200000000001,94.0,86.0,50.0
155.0,15.199200000000001,94.0,84.0,50.0
156.0,15.199200000000001,94.0,83.0,50.0
157.0,15.3,94.0,90.0,50.0
158.0,15.3,95.0,86.0,50.0
159.0,15.397200000000002,95.0,105.0,50.0
160.0,15.397200000000002,95.0,91.0,50.0
161.0,15.397200000000002,96.0,94.0,50.0
162.0,15.5988,96.0,84.0,50.0
163.0,15.6996,96.0,124.0,50.0
164.0,15.6996,97.0,97.0,50.0
165.0,15.6996,97.0,91.0,50.0
166.0,15.7968,97.0,80.0,50.0
167.0,15.7968,98.0,96.0,50.0
168.0,15.7968,98.0,86.0,50.0
169.0,15.7968,98.0,89.0,50.0
