sec,speed,cadence,power,altitude
0.0,6.1992,30.0,31.0,50.0
1.0,6.6996,33.0,48.0,50.0
2.0,7.2,37.0,64.0,50.0
3.0,7.6968,41.0,86.0,50.0
4.0,8.298,41.0,86.0,50.0
5.0,8.7984,46.0,85.0,50.0
6.0,9.0972,49.0,117.0,50.0
7.0,9.5976,54.0,118.0,50.0
8.0,9.9,56.0,103.0,50.0
9.0,10.098,59.0,121.0,50.0
10.0,10.3968,61.0,88.0,50.0
11.0,10.4976,63.0,95.0,50.0
12.0,10.8,65.0,74.0,50.0
13.0,10.998,66.0,121.0,50.0
14.0,11.0988,67.0,83.0,50.0
15.0,11.3976,68.0,92.0,50.0
16.0,11.5992,69.0,106.0,50.0
17.0,11.7,71.0,104.0,50.0
18.0,11.898,72.0,92.0,50.0
19.0,11.9988,73.0,83.0,50.0
20.0,12.0996,74.0,94.0,50.0
21.0,12.0996,74.0,89.0,50.0
22.0,12.2976,75.0,68.0,50.0
23.0,12.2976,76.0,95.0,50.0
24.0,12.3984,76.0,81.0,50.0
25.0,12.4992,76.0,82.0,50.0
26.0,12.4992,77.0,74.0,50.0
27.0,12.6,78.0,78.0,50.0
28.0,12.6972,78.0,76.0,50.0
29.0,12.6,78.0,68.0,50.0
30.0,12.6,78.0,59.0,50.0
31.0,12.6,78.0,54.0,50.0
32.0,12.6972,78.0,63.0,50.0
33.0,12.798,79.0,80.0,50.0
34.0,12.8988,79.0,85.0,50.0
35.0,12.8988,79.0,80.0,50.0
36.0,12.8988,80.0,67.0,50.0
37.0,12.9996,79.0,65.0,50.0
38.0,12.9996,80.0,56.0,50.0
39.0,13.0968,80.0,77.0,50.0
40.0,13.0968,81.0,85.0,50.0
41.0,13.1976,80.0,72.0,50.0
42.0,13.2984,81.0,86.0,50.0
43.0,13.2984,82.0,81.0,50.0
44.0,13.3992,82.0,71.0,50.0
45.0,13.2984,82.0,74.0,50.0
46.0,13.3992,83.0,55.0,50.0
47.0,13.3992,82.0,63.0,50.0
48.0,13.5,83.0,69.0,50.0
49.0,13.5972,83.0,89.0,50.0
50.0,13.798800000000002,79.0,101.0,50.0
51.0,13.8996,84.0,115.0,50.0
52.0,14.0976,86.0,145.0,50.0
53.0,13.9968,86.0,68.0,50.0
54.0,13.798800000000002,84.0,44.0,50.0
55.0,13.698,83.0,32.0,50.0
56.0,13.5,80.0,22.0,50.0
57.0,13.5972,80.0,34.0,50.0
58.0,13.5972,83.0,86.0,50.0
59.0,13.5972,84.0,80.0,50.0
60.0,13.5972,82.0,67.0,50.0
61.0,13.5,82.0,52.0,50.0
62.0,13.5972,82.0,59.0,50.0
63.0,13.5972,83.0,87.0,50.0
64.0,13.698,84.0,78.0,50.0
65.0,13.798800000000002,83.0,87.0,50.0
66.0,13.798800000000002,85.0,77.0,50.0
67.0,13.8996,83.0,82.0,50.0
68.0,13.8996,83.0,81.0,50.0
69.0,13.8996,85.0,57.0,50.0
70.0,13.8996,84.0,63.0,50.0
71.0,13.798800000000002,85.0,80.0,50.0
72.0,13.698,85.0,49.0,50.0
73.0,13.698,84.0,65.0,50.0
74.0,13.5972,84.0,47.0,50.0
75.0,13.5972,84.0,59.0,50.0
76.0,13.5972,84.0,66.0,50.0
77.0,13.5972,83.0,77.0,50.0
78.0,13.5972,83.0,58.0,50.0
79.0,13.5972,83.0,58.0,50.0
80.0,13.5,82.0,59.0,50.0
81.0,13.5,83.0,61.0,50.0
82.0,13.5972,83.0,69.0,50.0
83.0,13.5972,83.0,67.0,50.0
84.0,13.5972,83.0,76.0,50.0
85.0,13.5972,83.0,70.0,50.0
86.0,13.698,83.0,75.0,50.0
87.0,13.698,83.0,81.0,50.0
88.0,13.698,84.0,77.0,50.0
89.0,13.5972,83.0,61.0,50.0
90.0,13.698,83.0,68.0,50.0
91.0,13.798800000000002,84.0,87.0,50.0
92.0,13.798800000000002,85.0,74.0,50.0
93.0,13.798800000000002,85.0,57.0,50.0
94.0,13.798800000000002,84.0,62.0,50.0
95.0,13.8996,84.0,83.0,50.0
96.0,13.9968,85.0,84.0,50.0
97.0,13.9968,85.0,81.0,50.0
98.0,13.9968,85.0,71.0,50.0
99.0,13.8996,84.0,70.0,50.0
100.0,13.8996,86.0,69.0,50.0
101.0,13.8996,85.0,58.0,50.0
102.0,13.8996,84.0,73.0,50.0
103.0,13.8996,83.0,57.0,50.0
104.0,13.8996,85.0,69.0,50.0
105.0,13.9968,86.0,79.0,50.0
106.0,13.8996,86.0,85.0,50.0
107.0,13.8996,86.0,66.0,50.0
108.0,13.9968,86.0,73.0,50.0
109.0,13.9968,86.0,75.0,50.0
110.0,14.0976,85.0,85.0,50.0
111.0,14.0976,86.0,89.0,50.0
112.0,14.1984,85.0,89.0,50.0
113.0,14.1984,88.0,83.0,50.0
114.0,14.1984,87.0,89.0,50.0
115.0,14.0976,85.0,47.0,50.0
116.0,13.9968,85.0,48.0,50.0
117.0,13.9968,86.0,69.0,50.0
118.0,13.9968,87.0,72.0,50.0
119.0,13.9968,86.0,64.0,50.0
120.0,13.9968,86.0,83.0,50.0
121.0,14.0976,86.0,75.0,50.0
122.0,14.0976,87.0,70.0,50.0
123.0,13.9968,86.0,71.0,50.0
124.0,13.9968,87.0,55.0,50.0
125.0,13.9968,85.0,79.0,50.0
126.0,14.0976,86.0,79.0,50.0
127.0,14.0976,86.0,85.0,50.0
128.0,14.1984,87.0,79.0,50.0
129.0,14.1984,87.0,79.0,50.0
130.0,14.1984,87.0,85.0,50.0
131.0,14.2992,88.0,91.0,50.0
132.0,14.2992,87.0,71.0,50.0
133.0,14.2992,88.0,70.0,50.0
134.0,14.2992,88.0,71.0,50.0
135.0,14.2992,87.0,74.0,50.0
136.0,14.2992,87.0,75.0,50.0
137.0,14.1984,86.0,78.0,50.0
138.0,14.1984,87.0,60.0,50.0
139.0,14.0976,87.0,56.0,50.0
140.0,14.0976,85.0,55.0,50.0
141.0,14.2992,88.0,77.0,50.0
142.0,14.1984,86.0,78.0,50.0
143.0,14.1984,86.0,63.0,50.0
144.0,14.1984,85.0,56.0,50.0
145.0,14.1984,86.0,80.0,50.0
146.0,14.1984,86.0,71.0,50.0
147.0,14.0976,87.0,61.0,50.0
148.0,14.0976,86.0,68.0,50.0
149.0,14.1984,86.0,71.0,50.0
150.0,14.1984,86.0,79.0,50.0
151.0,14.1984,86.0,71.0,50.0
152.0,14.0976,85.0,55.0,50.0
153.0,13.9968,85.0,46.0,50.0
154.0,13.9968,86.0,59.0,50.0
155.0,13.9968,86.0,67.0,50.0
156.0,13.9968,86.0,69.0,50.0
157.0,13.9968,86.0,77.0,50.0
158.0,14.0976,87.0,95.0,50.0
159.0,14.1984,87.0,80.0,50.0
160.0,14.1984,86.0,86.0,50.0
161.0,14.1984,86.0,79.0,50.0
162.0,14.0976,85.0,56.0,50.0
163.0,14.0976,87.0,69.0,50.0
164.0,14.0976,88.0,76.0,50.0
165.0,14.1984,88.0,75.0,50.0
166.0,14.0976,85.0,69.0,50.0
167.0,14.0976,87.0,68.0,50.0
168.0,14.1984,87.0,80.0,50.0
169.0,14.1984,88.0,90.0,50.0
170.0,14.1984,88.0,83.0,50.0
171.0,14.0976,87.0,55.0,50.0
172.0,13.9968,87.0,59.0,50.0
173.0,13.9968,86.0,52.0,50.0
174.0,14.0976,87.0,73.0,50.0
175.0,14.0976,86.0,78.0,50.0
176.0,14.0976,87.0,82.0,50.0
177.0,14.0976,87.0,66.0,50.0
178.0,14.0976,87.0,66.0,50.0
179.0,13.9968,86.0,69.0,50.0
180.0,14.0976,86.0,66.0,70.0
181.0,14.0976,87.0,75.0,70.0
182.0,14.0976,87.0,73.0,70.0
183.0,14.1984,86.0,78.0,70.0
184.0,14.1984,87.0,94.0,70.0
185.0,14.1984,88.0,77.0,70.0
186.0,14.2992,88.0,82.0,70.0
187.0,14.2992,87.0,79.0,70.0
188.0,14.2992,88.0,81.0,70.0
189.0,14.4,88.0,72.0,70.0
190.0,14.4,89.0,88.0,70.0
191.0,14.4972,89.0,81.0,70.0
192.0,14.4,88.0,95.0,70.0
193.0,14.4,89.0,73.0,70.0
194.0,14.4,87.0,67.0,70.0
195.0,14.2992,88.0,64.0,70.0
196.0,14.2992,87.0,70.0,70.0
197.0,14.4,89.0,77.0,70.0
198.0,14.4972,89.0,87.0,70.0
199.0,14.4972,89.0,95.0,70.0
200.0,14.4972,88.0,69.0,70.0
201.0,14.4972,89.0,73.0,70.0
202.0,14.4972,90.0,75.0,70.0
203.0,14.4972,90.0,65.0,70.0
204.0,14.598,89.0,84.0,70.0
205.0,14.4972,90.0,85.0,70.0
206.0,14.4972,89.0,68.0,70.0
207.0,14.4972,90.0,61.0,70.0
208.0,14.598,89.0,83.0,70.0
209.0,14.598,90.0,89.0,70.0
210.0,14.6988,90.0,86.0,70.0
211.0,14.6988,90.0,95.0,70.0
212.0,14.6988,91.0,82.0,70.0
213.0,14.598,90.0,59.0,70.0
214.0,14.598,90.0,65.0,70.0
215.0,14.6988,90.0,87.0,70.0
216.0,14.7996,90.0,93.0,70.0
217.0,14.6988,90.0,73.0,70.0
218.0,14.6988,91.0,73.0,70.0
219.0,14.6988,90.0,74.0,70.0
220.0,14.6988,89.0,58.0,70.0
221.0,14.6988,90.0,87.0,70.0
222.0,14.6988,91.0,92.0,70.0
223.0,14.6988,91.0,83.0,70.0
224.0,14.6988,91.0,78.0,70.0
225.0,14.6988,91.0,73.0,70.0
226.0,14.6988,89.0,61.0,70.0
227.0,14.7996,90.0,83.0,70.0
228.0,14.7996,90.0,94.0,70.0
229.0,14.7996,90.0,84.0,70.0
230.0,14.7996,91.0,85.0,70.0
231.0,14.7996,90.0,77.0,70.0
232.0,14.6988,90.0,62.0,70.0
233.0,14.7996,90.0,80.0,70.0
234.0,14.7996,91.0,102.0,70.0
235.0,14.6988,92.0,70.0,70.0
236.0,14.598,89.0,48.0,70.0
237.0,14.598,89.0,49.0,70.0
238.0,14.598,90.0,70.0,70.0
239.0,14.4972,90.0,69.0,70.0
240.0,14.4972,89.0,71.0,90.0
241.0,14.4972,88.0,83.0,90.0
242.0,14.4972,90.0,80.0,90.0
243.0,14.4972,90.0,78.0,90.0
244.0,14.598,90.0,95.0,90.0
245.0,14.6988,90.0,100.0,90.0
246.0,14.6988,90.0,87.0,90.0
247.0,14.598,90.0,88.0,90.0
248.0,14.598,90.0,56.0,90.0
249.0,14.4972,88.0,72.0,90.0
250.0,14.4972,88.0,72.0,90.0
251.0,14.598,90.0,99.0,90.0
252.0,14.598,90.0,101.0,90.0
253.0,14.598,89.0,80.0,90.0
254.0,14.598,90.0,83.0,90.0
255.0,14.598,90.0,93.0,90.0
256.0,14.6988,91.0,88.0,90.0
257.0,14.6988,91.0,104.0,90.0
258.0,14.6988,89.0,90.0,90.0
259.0,14.6988,90.0,92.0,90.0
260.0,14.6988,90.0,94.0,90.0
261.0,14.598,91.0,69.0,90.0
262.0,14.598,90.0,73.0,90.0
263.0,14.598,90.0,86.0,90.0
264.0,14.598,90.0,104.0,90.0
265.0,14.6988,91.0,99.0,90.0
266.0,14.6988,91.0,93.0,90.0
267.0,14.6988,89.0,104.0,90.0
268.0,14.8968,91.0,115.0,90.0
269.0,14.8968,92.0,123.0,90.0
270.0,14.997600000000002,91.0,105.0,90.0
271.0,14.997600000000002,92.0,95.0,90.0
272.0,14.997600000000002,93.0,94.0,90.0
273.0,14.8968,92.0,83.0,90.0
274.0,14.8968,92.0,81.0,90.0
275.0,14.7996,90.0,59.0,90.0
276.0,14.6988,92.0,70.0,90.0
277.0,14.6988,91.0,68.0,90.0
278.0,14.7996,91.0,92.0,90.0
279.0,14.8968,92.0,131.0,90.0
280.0,14.8968,92.0,95.0,90.0
281.0,14.8968,92.0,103.0,90.0
282.0,14.8968,92.0,87.0,90.0
283.0,14.8968,92.0,84.0,90.0
284.0,14.8968,92.0,86.0,90.0
285.0,14.997600000000002,92.0,101.0,90.0
286.0,14.997600000000002,92.0,112.0,90.0
287.0,15.0984,92.0,95.0,90.0
288.0,14.997600000000002,93.0,114.0,90.0
289.0,14.997600000000002,93.0,67.0,90.0
290.0,14.8968,92.0,73.0,90.0
291.0,14.997600000000002,93.0,91.0,90.0
292.0,14.997600000000002,93.0,116.0,90.0
293.0,15.0984,93.0,101.0,90.0
294.0,15.0984,93.0,108.0,90.0
295.0,15.1992,93.0,93.0,90.0
296.0,15.1992,94.0,85.0,90.0
297.0,15.0984,93.0,92.0,90.0
298.0,15.0984,93.0,87.0,90.0
299.0,14.997600000000002,93.0,75.0,90.0
300.0,14.8968,93.0,76.0,110.0
301.0,14.8968,93.0,68.0,110.0
302.0,14.8968,92.0,86.0,110.0
303.0,14.7996,92.0,86.0,110.0
304.0,14.7996,91.0,90.0,110.0
305.0,14.7996,92.0,100.0,110.0
306.0,14.6988,92.0,80.0,110.0
307.0,14.7996,90.0,83.0,110.0
308.0,14.6988,91.0,121.0,110.0
309.0,14.7996,91.0,115.0,110.0
310.0,14.7996,91.0,114.0,110.0
311.0,14.6988,91.0,105.0,110.0
312.0,14.6988,91.0,104.0,110.0
313.0,14.6988,91.0,123.0,110.0
314.0,14.6988,91.0,121.0,110.0
315.0,14.6988,91.0,117.0,110.0
316.0,14.7996,91.0,128.0,110.0
317.0,14.7996,91.0,117.0,110.0
318.0,14.7996,91.0,118.0,110.0
319.0,14.7996,91.0,121.0,110.0
320.0,14.7996,91.0,116.0,110.0
321.0,14.7996,91.0,129.0,110.0
322.0,14.7996,92.0,124.0,110.0
323.0,14.7996,91.0,117.0,110.0
324.0,14.7996,92.0,113.0,110.0
325.0,14.7996,92.0,103.0,110.0
