sec,speed,cadence,power,altitude
0.0,1.8972,0.0,0.0,50.0
1.0,3.9996,0.0,0.0,50.0
2.0,5.9976,0.0,0.0,50.0
3.0,7.9992,0.0,0.0,50.0
4.0,8.8992,48.0,224.0,50.0
5.0,10.1988,48.0,224.0,50.0
6.0,11.0988,57.0,217.0,50.0
7.0,11.3976,64.0,219.0,50.0
8.0,11.5992,68.0,144.0,50.0
9.0,11.7972,72.0,103.0,50.0
10.0,11.9988,73.0,106.0,50.0
11.0,12.1968,74.0,111.0,50.0
12.0,12.2976,75.0,114.0,50.0
13.0,12.8988,76.0,93.0,50.0
14.0,14.0976,77.0,196.0,50.0
15.0,14.0976,83.0,397.0,50.0
16.0,13.9968,87.0,46.0,50.0
17.0,14.0976,87.0,71.0,50.0
18.0,13.8996,87.0,70.0,50.0
19.0,13.8996,87.0,43.0,50.0
20.0,13.798800000000002,86.0,49.0,50.0
21.0,13.8996,86.0,72.0,50.0
22.0,13.8996,86.0,76.0,50.0
23.0,13.9968,86.0,77.0,50.0
24.0,14.7996,86.0,98.0,50.0
25.0,15.397200000000002,90.0,340.0,50.0
26.0,15.3,94.0,257.0,50.0
27.0,15.0984,87.0,19.0,50.0
28.0,14.7996,75.0,7.0,50.0
29.0,14.598,67.0,4.0,50.0
30.0,14.2992,68.0,4.0,50.0
31.0,14.0976,81.0,15.0,50.0
32.0,13.9968,88.0,57.0,50.0
33.0,13.698,86.0,44.0,50.0
34.0,13.5972,85.0,58.0,50.0
35.0,13.698,85.0,70.0,50.0
36.0,13.798800000000002,84.0,177.0,50.0
37.0,13.798800000000002,85.0,127.0,50.0
38.0,13.698,85.0,83.0,50.0
39.0,13.798800000000002,85.0,75.0,50.0
40.0,13.5972,85.0,83.0,50.0
41.0,13.2984,85.0,63.0,50.0
42.0,13.1976,75.0,19.0,50.0
43.0,13.0968,82.0,38.0,50.0
44.0,13.0968,82.0,41.0,50.0
45.0,12.9996,81.0,56.0,50.0
46.0,12.9996,80.0,65.0,50.0
47.0,12.9996,80.0,58.0,50.0
48.0,13.1976,80.0,88.0,50.0
49.0,13.5972,81.0,135.0,50.0
50.0,13.698,83.0,179.0,50.0
51.0,13.798800000000002,85.0,87.0,50.0
52.0,14.0976,85.0,75.0,50.0
53.0,15.397200000000002,87.0,263.0,50.0
54.0,15.5988,92.0,377.0,50.0
55.0,15.397200000000002,86.0,38.0,50.0
56.0,15.397200000000002,72.0,7.0,50.0
57.0,15.397200000000002,95.0,90.0,50.0
58.0,15.5988,94.0,45.0,50.0
59.0,15.6996,96.0,142.0,50.0
60.0,15.7968,97.0,113.0,50.0
61.0,15.7968,98.0,92.0,50.0
62.0,16.398,98.0,223.0,50.0
63.0,16.2,101.0,263.0,50.0
64.0,15.9984,90.0,19.0,50.0
65.0,15.6996,73.0,6.0,50.0
66.0,15.397200000000002,76.0,5.0,50.0
67.0,15.1992,90.0,16.0,50.0
68.0,14.8968,86.0,14.0,50.0
69.0,14.598,89.0,23.0,50.0
70.0,14.1984,88.0,22.0,50.0
71.0,13.9968,87.0,19.0,50.0
72.0,13.698,87.0,48.0,50.0
73.0,13.5,86.0,54.0,50.0
74.0,13.3992,84.0,69.0,50.0
75.0,13.2984,83.0,82.0,50.0
76.0,13.3992,83.0,85.0,50.0
77.0,13.3992,83.0,105.0,50.0
78.0,13.5,83.0,135.0,50.0
79.0,13.5972,84.0,93.0,50.0
80.0,13.5972,84.0,79.0,50.0
81.0,13.698,84.0,74.0,50.0
82.0,13.798800000000002,85.0,86.0,50.0
83.0,14.0976,85.0,112.0,50.0
84.0,14.0976,87.0,96.0,50.0
85.0,14.0976,87.0,71.0,50.0
86.0,14.0976,87.0,72.0,50.0
87.0,14.1984,87.0,79.0,50.0
88.0,14.1984,88.0,74.0,50.0
89.0,14.7996,88.0,65.0,50.0
90.0,15.3,91.0,236.0,50.0
91.0,15.897600000000002,93.0,212.0,50.0
92.0,16.2972,98.0,220.0,50.0
93.0,16.099200000000003,100.0,167.0,50.0
94.0,15.897600000000002,98.0,91.0,50.0
95.0,15.5988,81.0,9.0,50.0
96.0,15.3,58.0,0.0,50.0
97.0,15.0984,49.0,0.0,50.0
98.0,14.7996,47.0,0.0,50.0
99.0,14.598,53.0,4.0,50.0
100.0,14.2992,76.0,7.0,50.0
101.0,13.9968,75.0,11.0,50.0
102.0,13.698,72.0,5.0,50.0
103.0,13.2984,79.0,9.0,50.0
104.0,12.9996,80.0,15.0,50.0
105.0,12.6972,80.0,26.0,50.0
106.0,12.6,79.0,33.0,50.0
107.0,12.4992,78.0,79.0,50.0
108.0,12.6,78.0,100.0,50.0
109.0,12.6,77.0,140.0,50.0
110.0,12.6,78.0,123.0,50.0
111.0,12.798,78.0,107.0,50.0
112.0,12.8988,79.0,110.0,50.0
113.0,12.9996,79.0,98.0,50.0
114.0,13.0968,80.0,85.0,50.0
115.0,13.1976,81.0,92.0,50.0
116.0,13.3992,81.0,89.0,50.0
117.0,13.3992,83.0,83.0,50.0
118.0,13.3992,83.0,66.0,50.0
119.0,13.3992,83.0,73.0,50.0
120.0,13.3992,83.0,76.0,50.0
121.0,13.5,83.0,79.0,50.0
122.0,13.5972,84.0,83.0,50.0
123.0,13.698,84.0,76.0,50.0
124.0,13.8996,84.0,73.0,50.0
125.0,14.0976,86.0,133.0,50.0
126.0,14.4,87.0,128.0,50.0
127.0,14.1984,88.0,140.0,50.0
128.0,13.9968,89.0,133.0,50.0
129.0,13.798800000000002,54.0,0.0,50.0
130.0,13.5,48.0,13.0,50.0
131.0,13.2984,69.0,8.0,50.0
132.0,13.2984,71.0,16.0,50.0
133.0,13.2984,82.0,89.0,50.0
134.0,13.5,83.0,110.0,50.0
135.0,13.5972,83.0,108.0,50.0
136.0,13.5972,83.0,105.0,50.0
137.0,13.698,84.0,90.0,50.0
138.0,13.798800000000002,85.0,88.0,50.0
139.0,13.9968,86.0,126.0,50.0
140.0,13.9968,86.0,91.0,50.0
141.0,13.8996,86.0,78.0,50.0
142.0,13.8996,86.0,68.0,50.0
143.0,13.8996,86.0,66.0,50.0
144.0,13.8996,86.0,80.0,50.0
145.0,13.8996,86.0,73.0,50.0
