sec,speed,cadence,power,altitude
0.0,3.4992,0.0,0.0,50.0
1.0,4.8996,0.0,0.0,50.0
2.0,5.8968,0.0,0.0,50.0
3.0,6.6996,0.0,0.0,50.0
4.0,7.599600000000001,0.0,0.0,50.0
5.0,8.1,47.0,127.0,50.0
6.0,8.7984,47.0,127.0,50.0
7.0,9.3996,52.0,123.0,50.0
8.0,9.7992,56.0,123.0,50.0
9.0,10.098,59.0,108.0,50.0
10.0,10.299600000000002,61.0,96.0,50.0
11.0,10.4976,63.0,89.0,50.0
12.0,10.5984,64.0,94.0,50.0
13.0,10.8,65.0,82.0,50.0
14.0,10.998,66.0,84.0,50.0
15.0,10.998,67.0,79.0,50.0
16.0,11.0988,68.0,77.0,50.0
17.0,11.0988,68.0,68.0,50.0
18.0,11.1996,69.0,58.0,50.0
19.0,11.1996,69.0,71.0,50.0
20.0,11.0988,69.0,66.0,50.0
21.0,11.1996,69.0,64.0,50.0
22.0,11.1996,69.0,68.0,50.0
23.0,11.5992,69.0,65.0,50.0
24.0,12.0996,71.0,130.0,50.0
25.0,12.3984,74.0,164.0,50.0
26.0,12.6,76.0,144.0,50.0
27.0,12.9996,77.0,97.0,50.0
28.0,13.0968,80.0,123.0,50.0
29.0,13.3992,81.0,108.0,50.0
30.0,13.5,83.0,96.0,50.0
31.0,13.5972,83.0,87.0,50.0
32.0,13.5972,84.0,90.0,50.0
33.0,13.5,84.0,63.0,50.0
34.0,13.3992,84.0,43.0,50.0
35.0,13.2984,83.0,41.0,50.0
36.0,12.9996,82.0,36.0,50.0
37.0,12.8988,79.0,23.0,50.0
38.0,12.798,76.0,9.0,50.0
39.0,12.6972,79.0,41.0,50.0
40.0,12.6,79.0,60.0,50.0
41.0,12.6,78.0,52.0,50.0
42.0,12.6,78.0,68.0,50.0
43.0,12.6,78.0,73.0,50.0
44.0,12.6972,78.0,78.0,50.0
45.0,12.6972,79.0,76.0,50.0
46.0,12.6972,79.0,75.0,50.0
47.0,12.6972,79.0,66.0,50.0
48.0,12.6972,79.0,63.0,50.0
49.0,12.6,79.0,54.0,50.0
50.0,12.6,78.0,47.0,50.0
51.0,12.6,78.0,53.0,50.0
52.0,12.6,78.0,66.0,50.0
53.0,12.6,78.0,59.0,50.0
54.0,12.4992,78.0,56.0,50.0
55.0,12.9996,78.0,71.0,50.0
56.0,14.0976,79.0,186.0,50.0
57.0,14.1984,83.0,316.0,50.0
58.0,13.9968,80.0,47.0,50.0
59.0,13.798800000000002,79.0,14.0,50.0
60.0,13.5,75.0,6.0,50.0
61.0,13.2984,79.0,13.0,50.0
62.0,12.9996,81.0,25.0,50.0
63.0,12.798,81.0,19.0,50.0
64.0,12.6972,80.0,51.0,50.0
65.0,12.3984,79.0,46.0,50.0
66.0,12.1968,78.0,48.0,50.0
67.0,12.4992,77.0,49.0,50.0
68.0,12.3984,77.0,164.0,50.0
69.0,12.3984,77.0,73.0,50.0
70.0,12.3984,77.0,81.0,50.0
71.0,12.4992,77.0,86.0,50.0
72.0,12.4992,77.0,90.0,50.0
73.0,12.6972,77.0,94.0,50.0
74.0,12.6972,78.0,96.0,50.0
75.0,12.798,79.0,77.0,50.0
76.0,12.6972,79.0,67.0,50.0
77.0,12.6972,79.0,69.0,50.0
78.0,12.6972,79.0,64.0,50.0
79.0,12.6972,79.0,62.0,50.0
80.0,12.6,79.0,56.0,50.0
81.0,12.6972,78.0,67.0,50.0
