sec,speed,cadence,power,altitude
0.0,2.1996,0.0,0.0,50.0
1.0,3.9996,0.0,0.0,50.0
2.0,5.9976,0.0,0.0,50.0
3.0,6.3,0.0,0.0,50.0
4.0,7.8984,0.0,0.0,50.0
5.0,8.8992,0.0,0.0,50.0
6.0,9.4968,52.0,186.0,50.0
7.0,9.9,52.0,186.0,50.0
8.0,10.299600000000002,57.0,114.0,50.0
9.0,10.998000000000001,63.0,112.0,50.0
10.0,11.898000000000001,66.0,173.0,50.0
11.0,12.4992,70.0,229.0,50.0
12.0,12.6972,75.0,192.0,50.0
13.0,12.898800000000001,79.0,94.0,50.0
14.0,12.898800000000001,79.0,90.0,50.0
15.0,12.999600000000001,80.0,75.0,50.0
16.0,13.798800000000002,81.0,134.0,50.0
17.0,14.4,83.0,262.0,50.0
18.0,14.997600000000002,89.0,199.0,50.0
19.0,15.397200000000002,91.0,234.0,50.0
20.0,15.7968,95.0,162.0,50.0
21.0,15.897600000000002,98.0,122.0,50.0
22.0,15.7968,98.0,85.0,50.0
23.0,15.5988,98.0,49.0,50.0
24.0,15.3,87.0,20.0,50.0
25.0,15.0984,69.0,5.0,50.0
26.0,14.7996,66.0,4.0,50.0
27.0,14.497200000000001,85.0,9.0,50.0
28.0,14.1984,78.0,8.0,50.0
29.0,13.9968,66.0,5.0,50.0
30.0,13.798800000000002,86.0,55.0,50.0
31.0,13.5972,86.0,55.0,50.0
32.0,13.3992,84.0,43.0,50.0
33.0,13.2984,83.0,54.0,50.0
34.0,13.1976,83.0,56.0,50.0
35.0,13.1976,82.0,65.0,50.0
36.0,13.0968,82.0,75.0,50.0
37.0,12.999600000000001,81.0,74.0,50.0
38.0,12.999600000000001,81.0,77.0,50.0
39.0,12.898800000000001,81.0,63.0,50.0
40.0,12.898800000000001,80.0,63.0,50.0
41.0,12.898800000000001,80.0,69.0,50.0
42.0,12.898800000000001,80.0,73.0,50.0
43.0,12.898800000000001,80.0,72.0,50.0
44.0,13.1976,80.0,66.0,50.0
45.0,13.5972,81.0,149.0,50.0
46.0,13.899600000000001,83.0,170.0,50.0
47.0,13.899600000000001,86.0,113.0,50.0
48.0,13.9968,86.0,66.0,50.0
49.0,13.899600000000001,86.0,75.0,50.0
50.0,13.9968,86.0,70.0,50.0
51.0,14.4,86.0,78.0,50.0
52.0,15.397200000000002,88.0,214.0,50.0
53.0,15.897600000000002,95.0,304.0,50.0
54.0,16.099200000000003,98.0,224.0,50.0
55.0,15.897600000000002,93.0,34.0,50.0
56.0,15.5988,80.0,8.0,50.0
57.0,15.397200000000002,74.0,5.0,50.0
58.0,15.199200000000001,88.0,11.0,50.0
59.0,14.8968,90.0,30.0,50.0
60.0,14.6988,91.0,34.0,50.0
61.0,14.497200000000001,90.0,41.0,50.0
62.0,14.2992,90.0,49.0,50.0
63.0,14.1984,89.0,71.0,50.0
64.0,14.0976,88.0,46.0,50.0
65.0,13.9968,87.0,64.0,50.0
66.0,13.9968,87.0,84.0,50.0
67.0,13.9968,86.0,79.0,50.0
68.0,13.9968,86.0,97.0,50.0
69.0,13.9968,87.0,101.0,50.0
70.0,14.0976,87.0,79.0,50.0
71.0,14.0976,87.0,84.0,50.0
72.0,14.0976,87.0,91.0,50.0
73.0,13.9968,87.0,50.0,50.0
74.0,14.0976,87.0,74.0,50.0
75.0,14.0976,87.0,83.0,50.0
76.0,14.0976,87.0,80.0,50.0
77.0,14.0976,87.0,73.0,50.0
78.0,14.0976,87.0,76.0,50.0
79.0,14.0976,87.0,78.0,50.0
80.0,13.9968,87.0,73.0,50.0
81.0,13.899600000000001,87.0,69.0,50.0
82.0,13.899600000000001,86.0,67.0,50.0
83.0,13.798800000000002,86.0,65.0,50.0
84.0,13.798800000000002,86.0,72.0,50.0
85.0,13.899600000000001,86.0,71.0,50.0
86.0,13.798800000000002,86.0,89.0,50.0
87.0,13.798800000000002,86.0,72.0,50.0
88.0,13.798800000000002,86.0,64.0,50.0
89.0,14.4,86.0,116.0,50.0
90.0,14.597999999999999,88.0,239.0,50.0
91.0,14.8968,91.0,160.0,50.0
92.0,14.597999999999999,92.0,131.0,50.0
93.0,14.4,72.0,16.0,50.0
94.0,14.2992,89.0,27.0,50.0
95.0,14.0976,89.0,37.0,50.0
96.0,13.899600000000001,87.0,43.0,50.0
97.0,13.798800000000002,86.0,34.0,50.0
98.0,13.698,86.0,49.0,50.0
99.0,13.5972,85.0,63.0,50.0
100.0,13.5972,85.0,62.0,50.0
101.0,13.5972,84.0,73.0,50.0
102.0,13.5972,84.0,84.0,50.0
103.0,13.5972,84.0,70.0,50.0
104.0,13.5972,84.0,76.0,50.0
105.0,13.5972,84.0,68.0,50.0
106.0,13.698,84.0,77.0,50.0
107.0,13.698,84.0,80.0,50.0
108.0,13.5972,85.0,74.0,50.0
109.0,13.5972,84.0,71.0,50.0
110.0,13.5972,84.0,62.0,50.0
111.0,13.5,84.0,62.0,50.0
112.0,13.5,84.0,53.0,50.0
113.0,13.3992,83.0,64.0,50.0
114.0,13.3992,83.0,56.0,50.0
115.0,13.5,83.0,73.0,50.0
116.0,13.899600000000001,84.0,138.0,50.0
117.0,14.1984,85.0,151.0,50.0
118.0,14.2992,88.0,108.0,50.0
119.0,14.497200000000001,88.0,107.0,50.0
120.0,14.597999999999999,89.0,116.0,50.0
121.0,14.497200000000001,90.0,84.0,50.0
122.0,14.4,90.0,57.0,50.0
123.0,14.2992,89.0,50.0,50.0
124.0,14.1984,89.0,51.0,50.0
125.0,14.0976,88.0,49.0,50.0
126.0,13.9968,88.0,57.0,50.0
127.0,13.899600000000001,87.0,45.0,50.0
128.0,13.798800000000002,86.0,43.0,50.0
129.0,13.698,86.0,51.0,50.0
130.0,13.698,85.0,57.0,50.0
131.0,13.5972,85.0,70.0,50.0
132.0,13.5972,85.0,58.0,50.0
133.0,13.5,85.0,60.0,50.0
134.0,13.5972,84.0,63.0,50.0
135.0,13.5972,84.0,76.0,50.0
136.0,13.5972,84.0,78.0,50.0
137.0,13.5972,84.0,78.0,50.0
138.0,13.698,85.0,77.0,50.0
139.0,13.9968,85.0,106.0,50.0
140.0,13.9968,86.0,141.0,50.0
141.0,14.0976,87.0,88.0,50.0
142.0,14.0976,87.0,91.0,50.0
143.0,14.0976,87.0,78.0,50.0
144.0,14.0976,87.0,70.0,50.0
145.0,14.0976,87.0,82.0,50.0
146.0,14.0976,87.0,71.0,50.0
147.0,14.0976,88.0,71.0,50.0
148.0,14.0976,87.0,88.0,50.0
149.0,14.1984,88.0,83.0,50.0
150.0,14.1984,88.0,83.0,50.0
151.0,14.0976,88.0,83.0,50.0
152.0,14.1984,88.0,74.0,50.0
153.0,14.0976,88.0,77.0,50.0
154.0,14.0976,87.0,69.0,50.0
155.0,14.0976,87.0,65.0,50.0
156.0,14.1984,87.0,65.0,50.0
157.0,14.2992,87.0,126.0,50.0
158.0,14.2992,88.0,89.0,50.0
159.0,14.2992,88.0,89.0,50.0
160.0,14.2992,88.0,90.0,50.0
161.0,14.2992,89.0,69.0,50.0
162.0,14.2992,88.0,66.0,50.0
163.0,14.2992,88.0,85.0,50.0
164.0,14.2992,89.0,83.0,50.0
165.0,14.2992,89.0,71.0,50.0
166.0,14.4,89.0,81.0,50.0
167.0,14.2992,89.0,80.0,50.0
168.0,14.4,89.0,66.0,50.0
169.0,14.4,89.0,81.0,50.0
170.0,14.497200000000001,89.0,88.0,50.0
171.0,14.597999999999999,90.0,107.0,50.0
172.0,14.6988,90.0,97.0,50.0
173.0,14.6988,91.0,91.0,50.0
174.0,14.7996,91.0,84.0,50.0
175.0,14.7996,91.0,95.0,50.0
176.0,14.7996,92.0,82.0,50.0
177.0,14.8968,92.0,99.0,50.0
178.0,14.8968,92.0,93.0,50.0
179.0,14.997600000000002,92.0,86.0,50.0
180.0,14.997600000000002,93.0,100.0,265.0
181.0,15.199200000000001,93.0,87.0,265.0
182.0,15.0984,93.0,110.0,265.0
183.0,14.8968,94.0,89.0,265.0
184.0,14.597999999999999,92.0,161.0,265.0
185.0,14.2992,91.0,185.0,265.0
186.0,14.1984,88.0,310.0,265.0
187.0,14.1984,88.0,386.0,265.0
188.0,13.899600000000001,88.0,427.0,265.0
189.0,13.9968,86.0,340.0,265.0
190.0,14.0976,86.0,363.0,265.0
191.0,14.4,87.0,354.0,265.0
192.0,14.497200000000001,89.0,359.0,265.0
193.0,14.597999999999999,90.0,275.0,265.0
194.0,14.6988,90.0,213.0,265.0
195.0,14.7996,91.0,236.0,265.0
196.0,14.597999999999999,91.0,224.0,265.0
197.0,14.597999999999999,91.0,169.0,265.0
198.0,14.597999999999999,91.0,205.0,265.0
199.0,14.497200000000001,90.0,233.0,265.0
200.0,14.597999999999999,90.0,243.0,265.0
201.0,14.597999999999999,90.0,289.0,265.0
202.0,14.6988,91.0,276.0,265.0
203.0,14.6988,91.0,258.0,265.0
204.0,14.6988,91.0,258.0,265.0
205.0,14.6988,91.0,257.0,265.0
206.0,14.6988,91.0,249.0,265.0
207.0,14.597999999999999,91.0,257.0,265.0
208.0,14.597999999999999,91.0,238.0,265.0
209.0,14.6988,90.0,257.0,265.0
210.0,14.6988,91.0,267.0,265.0
211.0,14.597999999999999,90.0,256.0,265.0
212.0,14.6988,90.0,260.0,265.0
213.0,14.597999999999999,91.0,280.0,265.0
214.0,14.597999999999999,91.0,249.0,265.0
215.0,14.597999999999999,90.0,251.0,265.0
216.0,14.597999999999999,90.0,262.0,265.0
217.0,14.597999999999999,90.0,258.0,265.0
218.0,14.597999999999999,90.0,244.0,265.0
219.0,14.597999999999999,90.0,278.0,265.0
220.0,14.597999999999999,90.0,254.0,265.0
221.0,14.597999999999999,90.0,270.0,265.0
222.0,14.597999999999999,90.0,263.0,265.0
223.0,14.597999999999999,90.0,262.0,265.0
224.0,14.597999999999999,90.0,266.0,265.0
225.0,14.597999999999999,90.0,248.0,265.0
226.0,14.597999999999999,90.0,250.0,265.0
227.0,14.597999999999999,90.0,249.0,265.0
228.0,14.6988,90.0,277.0,265.0
229.0,14.597999999999999,90.0,271.0,265.0
230.0,14.597999999999999,90.0,276.0,265.0
231.0,14.597999999999999,90.0,261.0,265.0
232.0,14.597999999999999,90.0,245.0,265.0
233.0,14.597999999999999,90.0,263.0,265.0
234.0,14.597999999999999,90.0,269.0,265.0
235.0,14.597999999999999,90.0,269.0,265.0
236.0,14.597999999999999,90.0,261.0,265.0
237.0,14.597999999999999,90.0,258.0,265.0
238.0,14.6988,90.0,255.0,265.0
239.0,14.597999999999999,90.0,270.0,265.0
240.0,14.597999999999999,90.0,249.0,265.0
241.0,14.497200000000001,90.0,258.0,265.0
242.0,14.597999999999999,90.0,259.0,265.0
243.0,14.597999999999999,90.0,269.0,265.0
244.0,14.597999999999999,90.0,262.0,265.0
245.0,14.597999999999999,90.0,262.0,265.0
246.0,14.597999999999999,90.0,264.0,265.0
247.0,14.597999999999999,90.0,263.0,265.0
248.0,14.597999999999999,90.0,251.0,265.0
249.0,14.597999999999999,90.0,270.0,265.0
250.0,14.497200000000001,90.0,259.0,265.0
251.0,14.497200000000001,90.0,247.0,265.0
252.0,14.497200000000001,90.0,259.0,265.0
253.0,14.497200000000001,90.0,246.0,265.0
254.0,14.497200000000001,90.0,272.0,265.0
255.0,14.597999999999999,90.0,254.0,265.0
256.0,14.597999999999999,90.0,264.0,265.0
