sec,hr,ve,vo2,vco2,fat,cho,rer
-7.0,73.0,16.718,526.6596585,484.5888321,1016.0,2710.0,0.9201176210841294
-3.0,72.0,9.147,227.160505,196.8573279,723.0,865.0,0.8666001508492861
-1.0,71.0,23.311,839.6402678,711.2090738,3050.0,2792.0,0.8470402160004648
2.0,75.0,28.239,1058.4723674,870.0300859,4449.0,2873.0,0.8219676891869327
5.0,77.0,27.269,998.3761679,827.4989948,4041.0,2877.0,0.828844899754142
8.0,78.0,34.114,1289.8423298,1086.1955502,4830.0,4134.0,0.8421149818896261
11.0,79.0,42.208,1425.0049138,1212.7193955,5046.0,4878.0,0.851028220152654
13.0,83.0,33.165,1104.654306,939.6041976,3923.0,3770.0,0.8505866428044323
16.0,84.0,33.768,1082.4239281,960.7973715,2915.0,4686.0,0.8876350074656115
20.0,85.0,25.704,776.040685,701.8732619,1784.0,3686.0,0.9044284345736331
22.0,84.0,23.538,786.4151137,676.5186581,2618.0,2871.0,0.8602564298606257
25.0,84.0,33.823,1268.5921854,1047.4012181,5227.0,3557.0,0.8256406039343083
27.0,86.0,34.8,1298.0068269,1059.2223926,5630.0,3337.0,0.8160376129374577
32.0,90.0,26.023,1011.9075472,819.1902844,4537.0,2443.0,0.809550523332632
34.0,93.0,40.033,1513.4104389,1184.7987265,7689.0,2687.0,0.7828667597675311
37.0,94.0,29.732,1126.1995137,872.5845175,5923.0,1783.0,0.7748045589481949
39.0,93.0,33.117,1320.1501869,1006.9333401,7295.0,1714.0,0.7627415047862839
42.0,92.0,37.768,1570.6530636,1171.067669,9270.0,1406.0,0.7455928340507393
44.0,94.0,35.52,1425.1741534,1080.4561948,8020.0,1695.0,0.7581222212193397
47.0,95.0,37.076,1556.8362873,1172.4355156,8933.0,1667.0,0.7530885072272685
49.0,95.0,37.697,1451.5161909,1093.6404826,8317.0,1567.0,0.7534469745886181
52.0,94.0,41.932,1746.0815432,1313.0075737,10061.0,1824.0,0.7519738003150093
54.0,94.0,57.154,2136.3513755,1702.536007,10184.0,4510.0,0.7969363216767335
57.0,95.0,50.809,1727.6987327,1428.5467342,7071.0,4894.0,0.8268494426499384
59.0,95.0,43.299,1504.8471021,1275.1583148,5455.0,5016.0,0.847367359129395
63.0,94.0,29.448,1258.430823,1032.0283634,5343.0,3359.0,0.8200914540059705
65.0,95.0,43.152,1581.9738839,1295.239625,6765.0,4171.0,0.8187490565943344
68.0,93.0,38.425,1495.4124546,1226.0690426,6356.0,3984.0,0.819886873904601
72.0,93.0,58.192,2097.6254272,1847.6238416,5982.0,8725.0,0.8808168596937191
76.0,91.0,43.293,1577.1725863,1367.0502429,5012.0,6011.0,0.8667727646135794
79.0,89.0,38.51,1425.6385514,1234.4511013,4560.0,5402.0,0.8658934623279856
83.0,88.0,21.328,865.1156686,697.178268,3951.0,2012.0,0.8058786741525906
85.0,90.0,34.915,1526.3455964,1221.8455626,7154.0,3353.0,0.8005038737503577
88.0,91.0,41.379,1724.767219,1374.688037,8218.0,3645.0,0.7970281565282925
90.0,92.0,35.653,1504.793095,1193.5300479,7301.0,3041.0,0.7931522625042349
93.0,95.0,46.518,1926.5022496,1521.5459077,9491.0,3738.0,0.789797109251193
96.0,96.0,58.984,2213.4635329,1828.4143404,9100.0,6227.0,0.8260422244248486
99.0,96.0,38.344,1386.3805436,1166.7043785,5210.0,4424.0,0.8415469936345406
101.0,92.0,48.533,1666.2703021,1454.4299363,5060.0,6602.0,0.8728655455642356
104.0,91.0,40.098,1318.3260468,1157.0900829,3856.0,5381.0,0.8776964436898054
106.0,91.0,49.084,1764.8308345,1570.7910521,4653.0,7747.0,0.8900519083150685
109.0,93.0,53.051,1806.2425572,1636.3797618,4088.0,8648.0,0.9059579264573869
112.0,93.0,46.636,1600.9500471,1421.7958159,4294.0,6949.0,0.888095052356865
114.0,92.0,47.719,1667.7244467,1472.1650016,4682.0,7016.0,0.882738754902249
119.0,91.0,42.424,1344.874731,1293.4275831,1254.0,8348.0,0.9617457695396315
122.0,94.0,54.736,2024.7310035,1738.0781964,6825.0,7299.0,0.8584242516144195
125.0,94.0,46.538,1670.0796128,1433.9825378,5621.0,6029.0,0.8586312453667
127.0,91.0,46.749,1699.7386385,1475.8201997,5343.0,6540.0,0.8682630177792479
130.0,87.0,44.16,1582.0688817,1388.8948024,4619.0,6465.0,0.8778978073998736
133.0,87.0,43.321,1513.6556765,1318.2845038,4665.0,5924.0,0.8709275988369076
137.0,89.0,52.26,1752.8889018,1610.0257006,3448.0,8947.0,0.9184984279076117
140.0,87.0,48.5,1597.602075,1441.1090137,3763.0,7492.0,0.9020450312697548
143.0,87.0,39.63,1370.8883844,1232.907741,3316.0,6336.0,0.8993494693148266
146.0,88.0,39.223,1344.0696708,1196.452953,3540.0,5904.0,0.8901718259053212
149.0,88.0,28.784,1103.4254952,956.8854655,3496.0,4217.0,0.8671953563358268
152.0,91.0,49.636,1845.3838421,1572.4542307,6489.0,6366.0,0.8521014408095103
156.0,90.0,56.153,1948.0788726,1802.1987967,3526.0,10269.0,0.9251159293641424
160.0,87.0,58.023,1925.4185661,1871.1575204,1325.0,12452.0,0.971818571475652
163.0,86.0,26.428,727.0477221,698.4808875,696.0,4494.0,0.9607084463211194
165.0,87.0,33.926,1063.0855106,989.7174239,1776.0,5762.0,0.9309857147252516
168.0,89.0,22.858,730.6820626,662.2508324,1647.0,3506.0,0.9063460926404847
170.0,89.0,41.069,1474.6766498,1317.6989358,3767.0,6602.0,0.8935510954070578
173.0,89.0,49.942,1818.5312051,1616.1509083,4851.0,7921.0,0.8887122221315574
176.0,93.0,29.035,1236.7945061,1065.4778099,4082.0,4552.0,0.8614832978679577
179.0,97.0,57.616,2099.7410003,1811.0215237,6880.0,7781.0,0.8624975763397728
181.0,97.0,48.972,1708.4924509,1481.1964013,5422.0,6519.0,0.8669610454056937
184.0,96.0,53.49,1930.9701733,1674.607519,6116.0,7381.0,0.8672363468660523
186.0,96.0,46.353,1622.5854948,1411.0521241,5049.0,6299.0,0.869631910689505
189.0,98.0,54.545,1903.1320948,1664.5660813,5701.0,7624.0,0.8746455833770851
191.0,99.0,67.3,2228.7571914,1909.9369303,7588.0,7954.0,0.8569515502495217
193.0,101.0,60.651,2204.3429798,1878.3173871,7751.0,7604.0,0.8520985183850198
195.0,104.0,73.471,2465.0719544,2197.3369638,6422.0,10902.0,0.8913885697648258
197.0,106.0,66.201,2056.2652564,1893.5365591,3929.0,10618.0,0.9208620109718253
199.0,108.0,60.057,1878.3506897,1717.5836058,3876.0,9393.0,0.9144105066313911
201.0,109.0,64.169,2191.3759613,1973.7148402,5232.0,10201.0,0.9006737661889491
204.0,110.0,61.8,2109.6499008,1890.9625032,5251.0,9592.0,0.8963394838560313
206.0,111.0,63.44,2193.4579904,1964.4975921,5497.0,9933.0,0.8956166932295582
209.0,112.0,36.763,1717.139309,1447.9395454,6387.0,5550.0,0.8432277671421009
211.0,113.0,64.083,2540.1085065,2163.5345302,8952.0,8740.0,0.8517488621701129
213.0,114.0,67.5,2674.7763354,2260.0986818,9842.0,8759.0,0.8449673536767003
215.0,116.0,71.973,2715.9496787,2323.4294275,9339.0,9594.0,0.855475874874132
218.0,117.0,68.802,2739.6359915,2334.8534432,9624.0,9461.0,0.8522495143311452
220.0,119.0,69.352,2549.4815325,2243.4221238,7322.0,10549.0,0.8799522943004491
222.0,119.0,72.495,2664.0954344,2350.2894109,7511.0,11173.0,0.8822091658399337
224.0,120.0,74.571,2662.6163647,2351.5157007,7448.0,11230.0,0.8831597866953499
227.0,122.0,82.062,2879.9480201,2728.0688354,3689.0,16806.0,0.947263220155367
229.0,122.0,67.228,2545.1521623,2356.8051217,4553.0,13474.0,0.9259977287842018
232.0,122.0,70.517,2806.7963537,2586.1429397,5328.0,14531.0,0.9213860265604492
235.0,123.0,64.595,2463.289016,2239.4272282,5391.0,11990.0,0.9091207786232421
237.0,123.0,72.656,2820.3654349,2567.321067,6095.0,13810.0,0.9102795812312982
240.0,124.0,72.472,2727.1931161,2544.1209255,4432.0,14914.0,0.9328715705832372
243.0,124.0,73.611,2836.3633533,2640.7202258,4735.0,15377.0,0.9310232494463812
245.0,125.0,78.205,2904.9434217,2721.6299525,4442.0,16183.0,0.9368960277055162
247.0,126.0,72.96,2777.9174479,2616.3851012,3919.0,15827.0,0.94185127897803
250.0,128.0,78.306,2916.6132572,2764.2363372,3701.0,17057.0,0.9477555278802083
253.0,128.0,53.232,2394.1498892,2239.5659999,3745.0,13248.0,0.935432660253509
255.0,128.0,90.063,3152.098595,3056.4997184,2334.0,20210.0,0.9696713558542733
257.0,129.0,91.485,3113.9131137,3071.5455874,1038.0,21315.0,0.9863941205958511
259.0,130.0,92.406,3082.5518149,3084.2827195,0.0,22197.0,1.000561516789964
261.0,130.0,89.306,2824.79165,2935.2340767,0.0,20513.0,1.039097547849237
263.0,131.0,87.27,2861.2031867,2893.1986571,0.0,20651.0,1.0111825229849902
265.0,130.0,86.376,2842.8902318,2914.3509784,0.0,20582.0,1.0251366534664808
267.0,130.0,92.686,3035.9951942,3160.6646299,0.0,22057.0,1.0410637790001018
269.0,130.0,92.081,2967.0847818,3091.7976533,0.0,21561.0,1.0420321226629534
271.0,130.0,87.507,2853.8872481,2977.4672399,0.0,20744.0,1.043302338549736
274.0,131.0,88.417,2842.6628446,2978.1081956,0.0,20682.0,1.0476473498281007
276.0,132.0,100.34,3254.6862134,3408.5407511,0.0,23677.0,1.0472716961366535
278.0,132.0,92.751,3037.1902091,3203.1047867,0.0,22131.0,1.0546276545679913
280.0,134.0,90.556,2997.9234517,3136.9217649,0.0,21805.0,1.0463648640265248
282.0,134.0,87.106,2950.2976846,3060.9061241,0.0,21417.0,1.0374906030931574
285.0,135.0,88.384,2859.6536822,3016.6984684,0.0,20838.0,1.0549174143629805
287.0,135.0,83.865,2828.5201467,2999.8531709,0.0,20637.0,1.0605733794754448
289.0,135.0,97.346,3160.8015502,3367.782248,0.0,23086.0,1.065483610569257
292.0,134.0,88.306,2824.7011169,3037.6603584,0.0,20675.0,1.0753917787003653
294.0,134.0,94.514,2972.8589008,3207.2035181,0.0,21776.0,1.0788280322476582
296.0,134.0,94.84,2983.5640739,3199.5247878,0.0,21824.0,1.0723834677422244
298.0,135.0,91.374,2893.7038016,3110.599446,0.0,21178.0,1.0749543350912671
300.0,135.0,94.206,3007.1733198,3276.6868976,0.0,22079.0,1.089623559781358
303.0,137.0,62.388,2478.858562,2611.0176919,0.0,18057.0,1.0533145101241157
305.0,137.0,103.825,3464.1352595,3653.3584331,0.0,25242.0,1.0546234945881738
307.0,138.0,101.327,3300.6836081,3506.1826208,0.0,24090.0,1.0622595307819562
309.0,139.0,99.222,3041.5210538,3278.57556,0.0,22274.0,1.0779394592399187
311.0,140.0,101.186,3156.5492766,3414.1843995,0.0,23135.0,1.0816192304710368
313.0,140.0,104.091,3229.3847181,3550.5042663,0.0,23760.0,1.099436758463677
315.0,140.0,104.611,3084.6964298,3372.2869615,0.0,22665.0,1.0932313886454774
318.0,140.0,69.591,2542.4560047,2769.6291932,0.0,18666.0,1.0893518661011423
319.0,141.0,118.621,3457.1065651,3798.3443748,0.0,25432.0,1.0987061877538997
321.0,142.0,118.089,3358.6166427,3733.0453384,0.0,24775.0,1.111483010874083
323.0,142.0,115.525,3225.9334137,3592.0353001,0.0,23807.0,1.1134871181299733
325.0,143.0,115.18,3325.3525987,3725.5205447,0.0,24576.0,1.120338500692059
327.0,143.0,107.33,3130.4398921,3513.0021247,0.0,23145.0,1.1222071803919431
329.0,143.0,108.691,3138.7167891,3560.0249025,0.0,23266.0,1.1342294133905615
331.0,143.0,107.426,3106.2209431,3534.6424407,0.0,23043.0,1.137923703898679
332.0,143.0,108.125,3215.9481415,3537.111259,0.0,23664.0,1.0998657638024603
334.0,143.0,115.625,3477.9276882,3798.5479393,0.0,25549.0,1.0921871527656566
336.0,142.0,98.476,3032.9101047,3340.6883345,0.0,22324.0,1.1014795095057537
338.0,143.0,100.588,3072.6926768,3364.8112312,0.0,22586.0,1.0950692389790904
340.0,143.0,103.602,3033.2639518,3371.3040738,0.0,22375.0,1.1114443475317735
342.0,143.0,109.679,3221.8783872,3569.1323827,0.0,23748.0,1.1077799822859808
344.0,143.0,103.696,3097.6278991,3409.090491,0.0,22796.0,1.1005487431174332
346.0,143.0,97.96,3001.0574249,3328.0149248,0.0,22126.0,1.108947432057517
348.0,143.0,106.529,3209.4998712,3563.9995348,0.0,23670.0,1.1104532412607502
350.0,143.0,108.442,3306.4062875,3633.4355575,0.0,24324.0,1.0989077692104408
352.0,143.0,94.274,2970.9406036,3305.4615262,0.0,21921.0,1.1125976474233947
354.0,143.0,105.472,3322.4155888,3635.2577392,0.0,24417.0,1.0941610530165473
356.0,143.0,103.606,3224.0089707,3537.9777492,0.0,23710.0,1.097384585884645
359.0,144.0,71.108,2725.5176286,2913.7455558,0.0,19922.0,1.0690613501174402
361.0,144.0,117.635,3712.5154017,4062.6415301,0.0,27285.0,1.0943096770021947
363.0,144.0,101.545,3165.1962978,3425.7714199,0.0,23202.0,1.0823251064337196
365.0,144.0,112.121,3313.3138258,3619.8994154,0.0,24341.0,1.0925314068388843
