sec,hr,ve,vo2,vco2,fat,cho,rer
-13.0,97.0,39.811,1571.770125,1314.0743912,6104.0,4805.0,0.8360474412249056
-11.0,97.0,30.093,1226.8614424,1007.9002646,5169.0,3317.0,0.8215273785345591
-9.0,97.0,27.941,1153.7122189,947.9362639,4858.0,3123.0,0.8216401355303354
-6.0,97.0,31.817,1244.5278812,1034.9435792,4959.0,3669.0,0.8315953341295059
-3.0,97.0,45.688,1990.9628952,1671.1181242,7582.0,6246.0,0.8393517168144561
-1.0,99.0,32.805,1304.4466677,1107.7637145,4673.0,4408.0,0.8492211616847538
1.0,99.0,21.368,917.2110325,755.2017419,3826.0,2521.0,0.8233674859335057
4.0,99.0,24.462,1114.4611267,892.9604171,5205.0,2468.0,0.8012485996206259
6.0,101.0,45.897,2235.4411477,1796.5712688,10319.0,5081.0,0.8036763887291132
8.0,101.0,41.228,1807.6950847,1475.2047376,7840.0,4649.0,0.8160694522465999
12.0,103.0,46.491,1749.872519,1557.3310572,4617.0,7677.0,0.8899682921416289
14.0,105.0,36.118,1345.0818599,1163.8721387,4321.0,5077.0,0.8652797821439121
16.0,105.0,33.77,1284.1673806,1113.1678654,4079.0,4896.0,0.8668401660225133
18.0,106.0,38.383,1502.9980675,1320.287067,4370.0,6162.0,0.8784356384410321
20.0,107.0,32.376,1273.235658,1104.1828046,4033.0,4867.0,0.8672257941113993
22.0,107.0,35.834,1499.314164,1282.001582,5170.0,5281.0,0.8550586746808058
24.0,109.0,41.403,1650.2139886,1407.2113233,5778.0,5719.0,0.8527447549355963
27.0,110.0,35.589,1468.6215334,1283.1416486,4431.0,5849.0,0.8737047764984105
29.0,110.0,40.349,1646.3372908,1437.3707223,4992.0,6531.0,0.8730718366960774
31.0,110.0,42.0,1700.133556,1483.2923443,5179.0,6718.0,0.8724563661867986
33.0,110.0,41.455,1745.6511365,1580.6658832,3970.0,8337.0,0.9054878435614618
36.0,111.0,40.564,1729.7387147,1565.4238028,3953.0,8240.0,0.9050059349983977
38.0,112.0,41.502,1572.3340048,1443.942311,3098.0,8019.0,0.9183432442419692
41.0,112.0,49.643,1871.2077949,1766.7439025,2536.0,10772.0,0.9441730134490048
43.0,113.0,42.171,1613.283867,1526.7618177,2101.0,9378.0,0.9463689862213194
46.0,114.0,45.076,1630.6549907,1568.2292826,1521.0,10121.0,0.9617174028497578
49.0,115.0,35.009,1438.8963109,1441.6491987,0.0,10364.0,1.0019131940078978
51.0,116.0,52.234,1824.5679957,1778.2873097,1131.0,11933.0,0.9746347156647104
53.0,116.0,47.063,1657.6605037,1602.3743479,1349.0,10499.0,0.96664808283928
55.0,115.0,49.223,1743.0613546,1741.7481042,32.0,12516.0,0.999246583950396
57.0,115.0,55.327,1924.3345638,1910.7596906,333.0,13501.0,0.9929456792725306
59.0,116.0,53.852,1789.7367669,1809.5107581,0.0,12917.0,1.0110485472309152
61.0,115.0,48.591,1541.7635472,1580.3298683,0.0,11162.0,1.0250144201230085
