sec,hr,ve,vo2,vco2,fat,cho,rer
-9.0,79.0,23.122,698.9940281,679.9347012,466.0,4537.0,0.9727332049576919
-6.0,78.0,7.339,184.3604159,162.6705568,519.0,774.0,0.8823507801600703
-3.0,74.0,21.837,845.8176805,727.127058,2827.0,3075.0,0.8596735144743761
1.0,72.0,31.3,1186.4222265,1028.6795388,3763.0,4529.0,0.8670433812038837
4.0,74.0,21.07,859.8467445,729.1642261,3104.0,2880.0,0.8480164991774298
7.0,77.0,24.574,867.6410693,742.3874262,2980.0,3068.0,0.8556388724186917
9.0,78.0,38.723,1388.8818537,1194.1976706,4637.0,5055.0,0.8598266781430266
12.0,84.0,30.802,1065.7775506,922.8379413,3409.0,4038.0,0.865882322986134
16.0,89.0,20.7,833.0467805,722.6424256,2634.0,3189.0,0.8674692016290675
18.0,92.0,40.0,1528.6934349,1295.6891218,5534.0,5104.0,0.847579437589956
21.0,94.0,38.892,1337.0697209,1171.0503457,3968.0,5396.0,0.8758334194508196
23.0,95.0,47.423,1545.3028239,1397.9565064,3545.0,7348.0,0.904648904265812
26.0,95.0,41.638,1173.9646237,1085.9493029,2127.0,6186.0,0.9250272801895846
28.0,96.0,47.643,1499.1360821,1346.2647244,3672.0,6879.0,0.898027030684328
31.0,97.0,47.23,1496.8720109,1363.4652134,3214.0,7352.0,0.9108762829897603
33.0,98.0,36.616,1109.8633376,1009.3431112,2421.0,5411.0,0.9094300865750121
36.0,97.0,35.357,1116.7163689,992.4653917,2979.0,4865.0,0.8887354205057539
38.0,96.0,46.228,1676.4224587,1445.5902574,5500.0,6204.0,0.8623066637516885
42.0,96.0,24.894,912.8547052,772.38976,3335.0,3015.0,0.8461256272221053
45.0,97.0,36.923,1680.6864869,1308.3649289,8703.0,2808.0,0.7784705470639314
47.0,98.0,35.502,1529.452292,1157.5541757,8650.0,1773.0,0.7568422903772406
50.0,97.0,43.258,1748.2894563,1373.9314474,8766.0,3229.0,0.7858718374403091
52.0,97.0,43.834,1860.1563379,1478.9703547,8945.0,3845.0,0.7950785235447817
55.0,97.0,31.478,1182.2035566,957.2271297,5297.0,2859.0,0.8096973861700866
57.0,99.0,43.784,1934.1015038,1524.3265307,9600.0,3676.0,0.7881316092796059
60.0,99.0,41.053,1671.7502813,1352.7116584,7511.0,4021.0,0.809158923752711
62.0,100.0,46.833,1928.8146048,1555.0401159,8793.0,4502.0,0.8062154403176779
64.0,100.0,37.543,1512.7493424,1196.5351747,7413.0,2978.0,0.7909672416724892
