sec,hr,ve,vo2,vco2,fat,cho,rer
-7.0,75.0,3.379,64.314743,60.3333733,97.0,360.0,0.9380955358866938
-3.0,76.0,46.735,1593.5576844,1606.8003864,0.0,11495.0,1.0083101491270998
1.0,77.0,24.156,661.0090633,673.0660503,0.0,4778.0,1.0182402748606911
5.0,80.0,16.352,612.6404467,587.2173939,619.0,3752.0,0.9585024904298407
7.0,81.0,28.688,960.0697292,906.5158784,1300.0,5528.0,0.9442187903949175
9.0,84.0,37.401,1210.5245216,1152.1192507,1420.0,7203.0,0.9517520960064457
12.0,86.0,38.333,1285.3189555,1234.3924485,1241.0,7933.0,0.9603783117162626
14.0,87.0,36.0,1119.086519,1100.4399515,457.0,7571.0,0.9833376891031962
17.0,89.0,33.867,1033.1185192,1032.9962908,3.0,7435.0,0.9998816898567507
21.0,92.0,18.588,668.9285291,620.7239565,1166.0,3574.0,0.9279376338383173
24.0,94.0,37.864,1374.7703834,1232.487894,3417.0,6256.0,0.8965045427818169
26.0,96.0,37.588,1242.8796292,1145.1604647,2360.0,6434.0,0.9213768073720071
29.0,96.0,34.869,1144.8859085,1064.1667928,1953.0,6163.0,0.929495930467206
31.0,97.0,43.512,1473.0888221,1360.6732952,2716.0,7712.0,0.9236872039122915
34.0,98.0,56.885,1876.9757919,1745.0892065,3191.0,10115.0,0.9297345304243398
36.0,99.0,52.872,1650.0862537,1514.0831064,3281.0,8384.0,0.9175781587204673
39.0,98.0,57.576,2030.2261773,1865.7747158,3969.0,10388.0,0.918998452813418
42.0,97.0,46.621,1575.8617382,1444.8860115,3160.0,7979.0,0.9168862828983939
44.0,97.0,48.812,1645.714184,1509.8241306,3279.0,8355.0,0.9174279138375586
47.0,97.0,44.753,1568.2140208,1397.3490752,4098.0,6922.0,0.8910448807791962
52.0,99.0,34.682,1407.2975677,1263.3179336,3458.0,6446.0,0.8976906964066518
54.0,100.0,27.382,1214.4865305,969.0560431,5763.0,2593.0,0.7979141956403937
56.0,101.0,31.017,1440.866676,1117.730553,7549.0,2314.0,0.7757348904084169
59.0,102.0,35.053,1783.1964724,1415.2302187,8632.0,3624.0,0.7936479465974072
62.0,104.0,52.408,2148.3484103,1779.8437737,8714.0,6171.0,0.8284707290338715
65.0,103.0,49.564,1842.2819853,1574.2553437,6376.0,6464.0,0.8545137803340381
68.0,102.0,54.0,1590.7992077,1509.6109724,1973.0,9352.0,0.9489638699170696
