sec,speed,cadence,power,altitude
0.0,4.5,0.0,0.0,50.0
1.0,5.6988,0.0,0.0,50.0
2.0,6.3972,0.0,0.0,50.0
3.0,6.8976,39.0,101.0,50.0
4.0,7.599600000000001,39.0,101.0,50.0
5.0,8.1,39.0,101.0,50.0
6.0,8.499600000000001,45.0,92.0,50.0
7.0,8.8992,49.0,95.0,50.0
8.0,9.298800000000002,52.0,97.0,50.0
9.0,9.5976,55.0,98.0,50.0
10.0,9.9,58.0,88.0,50.0
11.0,10.299600000000002,60.0,94.0,50.0
12.0,10.5984,61.0,96.0,50.0
13.0,10.6992,63.0,103.0,50.0
14.0,10.897200000000002,65.0,100.0,50.0
15.0,11.0988,67.0,85.0,50.0
16.0,11.1996,68.0,77.0,50.0
17.0,11.2968,69.0,77.0,50.0
18.0,11.4984,70.0,80.0,50.0
19.0,11.5992,71.0,90.0,50.0
20.0,11.5992,71.0,69.0,50.0
21.0,11.7972,72.0,72.0,50.0
22.0,11.898000000000001,73.0,85.0,50.0
23.0,11.998800000000001,73.0,82.0,50.0
24.0,11.998800000000001,73.0,71.0,50.0
25.0,12.0996,74.0,90.0,50.0
26.0,11.998800000000001,73.0,70.0,50.0
27.0,12.0996,74.0,51.0,50.0
28.0,12.1968,75.0,76.0,50.0
29.0,12.1968,75.0,75.0,50.0
30.0,12.2976,76.0,70.0,50.0
31.0,12.4992,75.0,82.0,50.0
32.0,12.6,76.0,85.0,50.0
33.0,12.798,78.0,122.0,50.0
34.0,12.798,78.0,83.0,50.0
35.0,12.898800000000001,78.0,75.0,50.0
36.0,13.0968,80.0,98.0,50.0
37.0,13.0968,81.0,108.0,50.0
38.0,12.999600000000001,80.0,64.0,50.0
39.0,12.898800000000001,80.0,43.0,50.0
40.0,12.798,77.0,30.0,50.0
41.0,12.6972,78.0,59.0,50.0
42.0,12.6,76.0,42.0,50.0
43.0,12.6,77.0,42.0,50.0
44.0,12.6,78.0,51.0,50.0
45.0,12.6,77.0,57.0,50.0
46.0,12.798,78.0,89.0,50.0
47.0,13.0968,79.0,104.0,50.0
48.0,13.1976,80.0,128.0,50.0
49.0,13.1976,81.0,82.0,50.0
50.0,13.0968,79.0,42.0,50.0
51.0,12.898800000000001,77.0,35.0,50.0
52.0,12.798,78.0,25.0,50.0
53.0,12.6,73.0,22.0,50.0
54.0,12.3984,69.0,33.0,50.0
55.0,12.3984,50.0,22.0,50.0
56.0,12.2976,76.0,63.0,50.0
57.0,12.2976,75.0,61.0,50.0
58.0,12.2976,75.0,55.0,50.0
59.0,12.2976,76.0,78.0,50.0
60.0,12.2976,75.0,58.0,50.0
61.0,12.2976,75.0,76.0,50.0
62.0,12.2976,75.0,58.0,50.0
63.0,12.1968,75.0,59.0,50.0
64.0,12.2976,74.0,60.0,50.0
65.0,12.2976,76.0,81.0,50.0
66.0,12.2976,76.0,64.0,50.0
67.0,12.2976,76.0,51.0,50.0
68.0,12.2976,74.0,67.0,50.0
69.0,12.3984,75.0,70.0,50.0
70.0,12.3984,76.0,73.0,50.0
71.0,12.3984,76.0,63.0,50.0
72.0,12.2976,75.0,61.0,50.0
73.0,12.3984,77.0,58.0,50.0
74.0,12.3984,77.0,62.0,50.0
75.0,12.3984,77.0,66.0,50.0
76.0,12.2976,76.0,54.0,50.0
77.0,12.2976,74.0,45.0,50.0
78.0,12.3984,75.0,57.0,50.0
79.0,12.4992,76.0,92.0,50.0
80.0,12.4992,77.0,90.0,50.0
81.0,12.3984,77.0,64.0,50.0
82.0,12.3984,77.0,59.0,50.0
83.0,12.2976,76.0,56.0,50.0
84.0,12.2976,76.0,55.0,50.0
85.0,12.2976,76.0,52.0,50.0
86.0,12.2976,76.0,62.0,50.0
87.0,12.2976,76.0,65.0,50.0
88.0,12.2976,76.0,60.0,50.0
89.0,12.2976,76.0,65.0,50.0
90.0,12.3984,77.0,74.0,50.0
91.0,12.3984,76.0,58.0,50.0
92.0,12.3984,76.0,70.0,50.0
93.0,12.3984,77.0,68.0,50.0
94.0,12.3984,76.0,54.0,50.0
95.0,12.3984,75.0,72.0,50.0
96.0,12.3984,76.0,60.0,50.0
97.0,12.3984,77.0,64.0,50.0
98.0,12.3984,76.0,61.0,50.0
99.0,12.4992,76.0,59.0,50.0
100.0,12.3984,77.0,77.0,50.0
101.0,12.3984,77.0,62.0,50.0
102.0,12.3984,77.0,52.0,50.0
103.0,12.3984,76.0,64.0,50.0
104.0,12.3984,76.0,68.0,50.0
105.0,12.3984,77.0,55.0,50.0
106.0,12.3984,77.0,69.0,50.0
107.0,12.3984,77.0,63.0,50.0
108.0,12.3984,77.0,60.0,50.0
109.0,12.2976,76.0,63.0,50.0
110.0,12.3984,75.0,52.0,50.0
111.0,12.3984,77.0,76.0,50.0
112.0,12.3984,76.0,66.0,50.0
113.0,12.4992,77.0,64.0,50.0
114.0,12.4992,77.0,73.0,50.0
115.0,12.4992,77.0,72.0,50.0
116.0,12.4992,78.0,70.0,50.0
117.0,12.6,78.0,72.0,50.0
118.0,12.6,78.0,71.0,50.0
119.0,12.6,77.0,58.0,50.0
120.0,12.4992,77.0,54.0,50.0
121.0,12.4992,78.0,57.0,50.0
122.0,12.4992,77.0,58.0,50.0
123.0,12.3984,77.0,61.0,50.0
124.0,12.4992,77.0,59.0,50.0
125.0,12.3984,77.0,66.0,50.0
126.0,12.4992,77.0,60.0,50.0
127.0,12.3984,77.0,82.0,50.0
128.0,12.3984,77.0,59.0,50.0
129.0,12.3984,76.0,44.0,50.0
130.0,12.4992,77.0,69.0,50.0
131.0,12.4992,77.0,85.0,50.0
132.0,12.3984,77.0,56.0,50.0
133.0,12.3984,76.0,58.0,50.0
134.0,12.2976,76.0,58.0,50.0
135.0,12.2976,76.0,56.0,50.0
136.0,12.1968,76.0,46.0,50.0
137.0,12.1968,76.0,55.0,50.0
138.0,12.1968,75.0,61.0,50.0
139.0,12.3984,75.0,68.0,50.0
140.0,12.3984,75.0,80.0,50.0
141.0,12.4992,76.0,68.0,50.0
142.0,12.4992,77.0,70.0,50.0
143.0,12.4992,77.0,72.0,50.0
144.0,12.6,78.0,72.0,50.0
145.0,12.6,77.0,72.0,50.0
146.0,12.6,78.0,78.0,50.0
147.0,12.6,77.0,57.0,50.0
148.0,12.6,77.0,60.0,50.0
149.0,12.6,78.0,63.0,50.0
150.0,12.6,78.0,55.0,50.0
151.0,12.6972,77.0,75.0,50.0
152.0,12.798,78.0,81.0,50.0
153.0,12.898800000000001,79.0,92.0,50.0
154.0,13.0968,80.0,81.0,50.0
155.0,13.1976,80.0,97.0,50.0
156.0,13.2984,81.0,100.0,50.0
157.0,13.2984,80.0,69.0,50.0
158.0,13.2984,80.0,61.0,50.0
159.0,13.2984,80.0,65.0,50.0
160.0,13.3992,82.0,97.0,50.0
161.0,13.5,83.0,78.0,50.0
162.0,13.5,83.0,97.0,50.0
163.0,13.698,82.0,74.0,50.0
164.0,13.698,84.0,113.0,50.0
165.0,13.899600000000001,84.0,83.0,50.0
166.0,14.4,85.0,112.0,50.0
167.0,14.597999999999999,89.0,177.0,50.0
168.0,14.8968,90.0,134.0,50.0
169.0,15.0984,92.0,140.0,50.0
170.0,15.397200000000002,91.0,106.0,50.0
171.0,15.897600000000002,95.0,222.0,50.0
172.0,16.398,96.0,211.0,50.0
173.0,16.6968,101.0,173.0,50.0
174.0,16.999200000000002,103.0,169.0,50.0
175.0,17.298,105.0,178.0,50.0
176.0,17.4996,106.0,164.0,50.0
177.0,17.7984,107.0,167.0,50.0
178.0,17.8992,110.0,158.0,50.0
179.0,18.0972,110.0,128.0,50.0
180.0,18.597600000000003,112.0,230.0,221.0
181.0,18.6984,115.0,197.0,221.0
182.0,18.597600000000003,115.0,113.0,221.0
183.0,18.2988,114.0,71.0,221.0
184.0,18.0,106.0,34.0,221.0
185.0,17.4996,108.0,26.0,221.0
186.0,16.797600000000003,108.0,127.0,221.0
187.0,16.2972,104.0,141.0,221.0
188.0,15.897600000000002,102.0,295.0,221.0
189.0,15.897600000000002,99.0,361.0,221.0
190.0,16.2,99.0,459.0,221.0
191.0,16.5996,100.0,454.0,221.0
192.0,17.197200000000002,103.0,370.0,221.0
193.0,17.6976,106.0,312.0,221.0
194.0,18.0972,109.0,231.0,221.0
195.0,18.0,110.0,170.0,221.0
196.0,18.0,110.0,104.0,221.0
197.0,17.8992,108.0,94.0,221.0
198.0,17.5968,108.0,78.0,221.0
199.0,17.298,109.0,149.0,221.0
200.0,16.8984,105.0,89.0,221.0
201.0,16.6968,105.0,244.0,221.0
202.0,16.2972,101.0,206.0,221.0
203.0,16.099200000000003,102.0,270.0,221.0
204.0,15.897600000000002,100.0,275.0,221.0
205.0,15.9984,98.0,344.0,221.0
206.0,16.099200000000003,99.0,352.0,221.0
207.0,16.2,100.0,313.0,221.0
208.0,16.2972,100.0,215.0,221.0
209.0,16.2972,101.0,237.0,221.0
