sec,speed,cadence,power,altitude
0.0,1.4976,0.0,0.0,50.0
0.0,3.8988,0.0,0.0,50.0
1.0,5.1984,0.0,0.0,50.0
2.0,5.9976,0.0,0.0,50.0
3.0,6.5988,0.0,0.0,50.0
4.0,7.498800000000001,0.0,0.0,50.0
5.0,7.8984,43.0,115.0,50.0
6.0,8.499600000000001,43.0,115.0,50.0
7.0,9.0,48.0,95.0,50.0
8.0,9.4968,52.0,110.0,50.0
9.0,9.7992,56.0,113.0,50.0
10.0,10.1988,59.0,98.0,50.0
11.0,10.4976,61.0,113.0,50.0
12.0,10.8,63.0,101.0,50.0
13.0,10.897200000000002,65.0,100.0,50.0
14.0,11.1996,67.0,92.0,50.0
15.0,11.4984,69.0,93.0,50.0
16.0,11.7,70.0,99.0,50.0
17.0,11.9988,72.0,110.0,50.0
18.0,12.0996,73.0,101.0,50.0
19.0,12.2976,75.0,106.0,50.0
20.0,12.3984,76.0,91.0,50.0
21.0,12.6972,76.0,88.0,50.0
22.0,12.798,77.0,106.0,50.0
23.0,12.9996,79.0,118.0,50.0
24.0,12.9996,80.0,85.0,50.0
25.0,13.1976,80.0,82.0,50.0
26.0,13.1976,81.0,93.0,50.0
27.0,13.2984,82.0,76.0,50.0
28.0,13.2984,82.0,85.0,50.0
29.0,13.2984,82.0,67.0,50.0
30.0,13.2984,83.0,74.0,50.0
31.0,13.2984,82.0,74.0,50.0
32.0,13.2984,83.0,65.0,50.0
33.0,13.3992,83.0,65.0,50.0
34.0,13.3992,83.0,88.0,50.0
35.0,13.2984,83.0,73.0,50.0
36.0,13.3992,82.0,59.0,50.0
37.0,13.3992,81.0,76.0,50.0
38.0,13.3992,83.0,84.0,50.0
39.0,13.5,83.0,63.0,50.0
40.0,13.5,81.0,81.0,50.0
41.0,13.5972,83.0,77.0,50.0
42.0,13.5972,84.0,89.0,50.0
43.0,13.798800000000002,84.0,91.0,50.0
44.0,13.798800000000002,83.0,81.0,50.0
45.0,13.798800000000002,83.0,66.0,50.0
46.0,13.798800000000002,85.0,76.0,50.0
47.0,13.798800000000002,85.0,70.0,50.0
48.0,13.698,85.0,62.0,50.0
49.0,13.798800000000002,84.0,59.0,50.0
50.0,13.798800000000002,84.0,70.0,50.0
51.0,13.798800000000002,84.0,97.0,50.0
52.0,13.8996,84.0,81.0,50.0
53.0,13.8996,85.0,76.0,50.0
54.0,13.8996,86.0,68.0,50.0
55.0,13.8996,85.0,78.0,50.0
56.0,13.8996,84.0,69.0,50.0
57.0,13.8996,85.0,71.0,50.0
58.0,13.9968,85.0,75.0,50.0
59.0,13.9968,85.0,75.0,50.0
60.0,14.0976,86.0,84.0,50.0
61.0,14.0976,87.0,73.0,50.0
62.0,14.0976,86.0,72.0,50.0
63.0,14.0976,86.0,75.0,50.0
