sec,hr,ve,vo2,vco2,fat,cho,phases,rer
4.0,0,38.864,1589.3065377,1500.4629797,2156,9146,NONE,0.944099167849286
6.0,0,57.778,2127.2648955,1930.3113902,4741,10263,NONE,0.9074146780137096
8.0,0,71.667,2367.9582497,2333.6757297,840,16155,NONE,0.985522329203083
10.0,0,67.564,2776.6846394,2063.9077056,16526,2337,NONE,0.7432992844466413
12.0,0,68.389,4102.8738424,2148.2087808,26445,0,NONE,0.5235863600288994
14.0,0,71.649,2218.7634612,2245.7328617,0,16018,NONE,1.0121551490150344
16.0,0,71.75,4223.4175595,2436.6924923,27578,0,NONE,0.57694804218896
18.0,0,76.551,2963.6668809,2635.5267497,7867,12952,NONE,0.8892790099606772
20.0,0,77.323,3216.3924252,2731.510376,11520,10870,NONE,0.8492466138767725
22.0,0,83.822,3532.8959719,3124.3131275,9785,15005,NONE,0.8843490304696793
24.0,0,92.196,3971.5195843,3514.5738053,10944,16927,NONE,0.884944347043793
26.0,0,96.287,4036.222735,3641.9096098,9481,18955,NONE,0.902306401036612
27.0,0,102.071,4251.2964786,3912.1236034,8188,21884,NONE,0.920218955109973
29.0,0,102.462,4211.564695,3952.2874914,6285,23628,NONE,0.9384368465459368
31.0,0,107.254,4313.2203124,4113.8233014,4850,25889,NONE,0.9537707335684298
32.0,0,115.309,4522.8069421,4421.2950832,2482,29921,NONE,0.9775555622427547
34.0,0,119.731,4651.7198163,4621.2373829,748,32696,NONE,0.9934470616022084
36.0,0,121.084,4659.5978243,4615.8251955,1073,32406,NONE,0.9906059212724916
37.0,0,120.0,4632.0900726,4759.1140671,0,33552,NONE,1.02742260891069
39.0,0,126.112,4651.9381281,4917.8710218,0,33915,NONE,1.0571660427067235
40.0,0,128.431,4754.0928885,5088.7546142,0,34760,NONE,1.0703944440188655
43.0,0,97.206,3963.800863,4387.2645127,0,29210,NONE,1.1068327255419943
44.0,0,147.435,5415.5216337,5946.1103555,0,39832,NONE,1.0979755520683776
45.0,0,150.87,5290.746872,5912.806736,0,39079,NONE,1.1175750568019236
47.0,0,146.529,4897.7314111,5591.5580017,0,36363,NONE,1.1416628500753518
48.0,0,147.338,4889.4279048,5694.4937905,0,36479,NONE,1.1646544138445438
49.0,0,152.978,4836.7409046,5782.8648474,0,36323,NONE,1.1956118720149316
51.0,0,155.036,4815.0589411,5904.1473151,0,36394,NONE,1.2261838094449573
52.0,0,152.565,4789.424479,5806.2229737,0,36094,NONE,1.2123007679019298
54.0,0,161.418,4781.7879104,5851.0866125,0,36123,NONE,1.2236190149241797
55.0,0,165.646,4947.0546961,6183.1109959,0,37577,NONE,1.249857011036171
56.0,0,166.266,4800.9736422,6121.9404565,0,36659,NONE,1.2751456085259156
57.0,0,167.538,4793.5152148,6249.8996754,0,36820,NONE,1.3038238944362597
59.0,0,163.218,4624.1213928,6094.648471,0,35623,NONE,1.3180122131935568
60.0,0,168.844,4734.6287221,6299.4630079,0,36568,NONE,1.3305083413395786
61.0,0,172.762,4750.1942739,6428.2503634,0,36859,NONE,1.3532605179371506
63.0,0,167.45,4710.1513091,6356.6374978,0,36521,NONE,1.3495612095346052
64.0,0,172.272,4762.9218845,6379.8234311,0,36854,NONE,1.339476813983007
65.0,0,168.186,4766.3699438,6320.7315019,0,36780,NONE,1.3261101375737487
66.0,0,176.667,4784.320189,6571.1721602,0,37277,NONE,1.3734808500710904
68.0,0,178.739,4723.9085439,6517.7136152,0,36854,NONE,1.3797290008114884
69.0,0,179.157,4818.0586284,6577.7787061,0,37477,NONE,1.3652342599833358
70.0,0,179.066,4993.0230662,6708.981336,0,38668,NONE,1.3436712082137343
71.0,0,182.41,4895.739127,6724.3285693,0,38146,NONE,1.373506307191764
72.0,0,182.874,4904.2568605,6829.657142,0,38360,NONE,1.3925977648127716
74.0,0,182.949,4729.9604274,6786.0173035,0,37313,NONE,1.4346879657152205
75.0,0,181.576,4708.3360804,6603.2138453,0,36902,NONE,1.4024516798594842
76.0,0,187.895,4777.1965042,6871.3524783,0,37713,NONE,1.4383650478390133
77.0,0,182.874,4760.5253465,6806.9788565,0,37517,NONE,1.429879763481268
78.0,0,182.7,4729.5566228,6706.2735212,0,37184,NONE,1.4179497268033003
79.0,0,185.695,4784.2417329,6814.2866926,0,37662,NONE,1.4243190609997616
81.0,0,190.991,4871.1394535,6848.3532831,0,38204,NONE,1.4059037620405914
82.0,0,187.381,4766.589715,6778.9462466,0,37507,NONE,1.422179514479148
83.0,0,195.838,5019.2942306,6879.3877102,0,39085,NONE,1.370588651340658
84.0,0,194.264,4782.9717381,6771.0861643,0,37587,NONE,1.4156651000805962
85.0,0,198.058,4930.2367638,6738.7921511,0,38362,NONE,1.3668293175247124
86.0,0,195.333,4901.9988304,6849.904935,0,38380,NONE,1.3973697611920997
87.0,0,196.5,4832.471229,6708.7409265,0,37766,NONE,1.3882629835932334
88.0,0,196.574,4930.6561226,6757.450777,0,38394,NONE,1.3704972743945296
89.0,0,194.827,4785.2537756,6592.8416302,0,37317,NONE,1.3777412733713073
90.0,0,202.62,4838.7997703,6874.766262,0,38064,NONE,1.4207585740985873
91.0,0,207.551,5080.013233,7079.9220126,0,39744,NONE,1.3936818051198177
92.0,0,200.0,4997.8201844,6860.0710047,0,38934,NONE,1.3726126094157525
93.0,0,197.657,4922.6109445,6950.2983142,0,38655,NONE,1.4119129853163637
94.0,0,196.442,4740.9586448,6768.9878444,0,37347,NONE,1.4277677473150692
95.0,0,199.471,4785.6439143,6763.2051511,0,37589,NONE,1.4132278272712355
96.0,0,199.01,4748.4256355,6835.1807776,0,37494,NONE,1.439462529748614
97.0,0,196.268,4653.3220692,6709.531073,0,36761,NONE,1.4418797953853006
99.0,0,123.12,3455.8923413,4933.7626783,0,27223,NONE,1.4276378402586667
100.0,0,198.408,5175.4565858,7334.3769373,0,40683,NONE,1.4171458721967587
101.0,0,192.561,5006.5013884,7000.4263243,0,39205,NONE,1.398267129321066
102.0,0,198.466,5044.3966978,7064.8716406,0,39520,NONE,1.4005384714650189
103.0,0,201.176,4988.5197034,7057.9310762,0,39195,NONE,1.4148347597764446
104.0,0,203.52,4938.5886863,6893.2294866,0,38654,NONE,1.395789348832049
105.0,0,211.0,5058.3435257,7010.9208471,0,39513,NONE,1.3860112132518307
106.0,0,211.152,4830.4076839,7003.9674111,0,38222,NONE,1.449974385069937
107.0,0,211.875,4835.1672987,7014.1239085,0,38265,NONE,1.4506476146928444
108.0,0,208.727,4781.7732341,6915.5802384,0,37809,NONE,1.4462375984463876
109.0,0,203.312,4742.756876,6790.0086405,0,37391,NONE,1.431658593941386
110.0,0,207.152,4765.4782117,6898.8040293,0,37691,NONE,1.4476624848189104
