sec,hr,ve,vo2,vco2,fat,cho,phases,rer
139.0,0,114.568,4109.9834058,4181.1282487,0,29705,NONE,1.017310250644711
140.0,0,113.655,4086.1070379,4161.5278672,0,29539,NONE,1.0184578692140092
142.0,0,117.072,4321.8783411,4353.3007088,0,31167,NONE,1.0072705349896551
144.0,0,93.415,3360.9079145,3388.9146362,0,24243,NONE,1.008333082135089
146.0,0,76.785,3491.1459901,3435.9784443,1351,23698,NONE,0.9841978691362546
148.0,0,116.096,4694.5868532,4505.5344928,4604,28897,NONE,0.9597297128987752
150.0,0,115.71,4517.0723278,4421.6360214,2334,30037,NONE,0.9788720880529976
152.0,0,115.103,4306.9848459,4231.3521603,1851,29039,NONE,0.982439528276493
153.0,0,120.287,4417.2493702,4408.7142269,210,31581,NONE,0.9980677696492344
155.0,0,124.638,4449.2045396,4484.1075338,0,32090,NONE,1.0078447717764707
157.0,0,121.567,4223.5437727,4265.4548787,0,30476,NONE,1.0099232086265812
158.0,0,126.318,4359.1176913,4415.6328045,0,31475,NONE,1.0129648055414502
160.0,0,120.397,4119.2885456,4177.4718515,0,29751,NONE,1.0141246007061455
161.0,0,119.846,4176.2655938,4233.6080221,0,30160,NONE,1.013730551137631
163.0,0,124.462,4411.6131056,4423.6375212,0,31783,NONE,1.0027256278626828
164.0,0,121.273,4312.4410434,4382.6296651,0,31161,NONE,1.0162758449318212
166.0,0,117.714,4201.912715,4258.0848896,0,30343,NONE,1.013368239278145
168.0,0,114.593,4094.5815758,4127.9797301,0,29534,NONE,1.0081566708787515
170.0,0,114.14,4205.8206477,4218.3940706,0,30302,NONE,1.0029895290249422
171.0,0,117.273,4352.8103464,4297.2155117,1362,29890,NONE,0.9872278297753132
173.0,0,121.926,4387.6476792,4382.7932937,119,31464,NONE,0.9988936245900022
174.0,0,123.718,4455.1825254,4472.1817159,0,32104,NONE,1.0038155991147577
177.0,0,76.057,3022.6543583,3039.3484581,0,21790,NONE,1.0055229933102203
178.0,0,124.302,4920.3783443,4783.3593074,3346,31863,NONE,0.9721527436891658
180.0,0,128.982,4772.8555755,4692.9857647,1955,32283,NONE,0.9832658228315168
182.0,0,118.162,4277.1295838,4264.2381915,317,30458,NONE,0.9969859710706857
183.0,0,124.427,4495.6251496,4495.2879881,8,32360,NONE,0.9999250023102948
185.0,0,123.407,4400.7886523,4427.7911715,0,31728,NONE,1.0061358363996618
187.0,0,124.425,4429.5873889,4404.1672857,624,31229,NONE,0.9942612932157744
189.0,0,108.468,4042.6919237,4119.658915,0,29229,NONE,1.0190385497467136
191.0,0,98.857,3699.6288821,3688.2189092,280,26339,NONE,0.99691591420015
192.0,0,125.885,4676.1993709,4643.0931191,812,32804,NONE,0.992920265118288
194.0,0,126.813,4509.1641291,4474.1244701,860,31551,NONE,0.9922292340671588
195.0,0,125.571,4358.9487848,4370.6380228,0,31403,NONE,1.0026816644510166
197.0,0,124.558,4289.4756137,4326.4582883,0,30943,NONE,1.0086217239426385
198.0,0,119.925,4261.9798229,4285.7103725,0,30724,NONE,1.0055679638539097
200.0,0,121.367,4289.9848558,4303.0502192,0,30909,NONE,1.0030455500052258
202.0,0,119.769,4244.4463712,4270.9908744,0,30602,NONE,1.0062539377055424
203.0,0,121.308,4334.8591546,4355.102292,0,31243,NONE,1.0046698489335042
205.0,0,121.49,4290.3058732,4307.0909817,0,30917,NONE,1.0039123337580311
206.0,0,120.465,4196.0467242,4207.6209102,0,30230,NONE,1.0027583548899128
208.0,0,122.368,4202.4697403,4226.7217072,0,30296,NONE,1.0057708843605544
209.0,0,128.772,4436.7362137,4457.5828699,0,31978,NONE,1.004698646752004
211.0,0,117.948,4118.9079457,4141.7788543,0,29692,NONE,1.0055526632062453
212.0,0,121.51,4269.3797766,4251.4948504,439,30272,NONE,0.9958108842183532
214.0,0,124.291,4386.0488313,4412.4144132,0,31621,NONE,1.0060112376569657
215.0,0,123.39,4278.7039609,4326.4582883,0,30882,NONE,1.0111609328049784
217.0,0,122.752,4312.1988714,4311.8858099,8,31040,NONE,0.999927400959618
218.0,0,120.736,4228.9048305,4254.5355391,0,30489,NONE,1.0060608383558658
221.0,0,75.114,3003.8462951,2936.3678408,1650,19871,NONE,0.9775359829795308
222.0,0,132.39,5197.378334,4998.6213922,4843,32263,NONE,0.961758230971992
224.0,0,139.08,4965.4897563,4830.6121732,3295,32243,NONE,0.9728370030511344
225.0,0,139.905,4771.1460271,4764.5455594,162,34180,NONE,0.9986165865260652
227.0,0,136.014,4414.0980837,4534.6915351,0,31973,NONE,1.0273200660957935
228.0,0,128.727,4274.7743023,4436.9076246,0,31035,NONE,1.0379279257416625
230.0,0,124.642,4177.6586563,4315.7209854,0,30298,NONE,1.0330477763882886
231.0,0,128.98,4291.5884376,4425.2879783,0,31111,NONE,1.031153858913547
233.0,0,135.167,4452.8912835,4606.6577356,0,32304,NONE,1.034531822654143
234.0,0,136.375,4477.3343469,4637.0313031,0,32490,NONE,1.035667864811251
236.0,0,131.388,4324.4173736,4492.8085132,0,31403,NONE,1.0389396131437278
237.0,0,130.92,4308.6322402,4474.2289813,0,31284,NONE,1.0384337144291325
239.0,0,126.147,4238.7651149,4391.682445,0,30761,NONE,1.036075915025928
240.0,0,128.424,4268.4860032,4431.7247608,0,30992,NONE,1.0382427768247624
242.0,0,129.059,4335.2923735,4507.1991911,0,31486,NONE,1.0396528775431155
244.0,0,118.836,3978.6708754,4123.4418892,0,28876,NONE,1.0363867779803335
245.0,0,133.066,4516.2821074,4635.9655638,0,32707,NONE,1.0265004385363563
247.0,0,135.02,4531.730878,4589.4259324,0,32720,NONE,1.012731350548659
248.0,0,132.474,4361.9466324,4434.5408531,0,31521,NONE,1.0166426201001129
250.0,0,127.233,4192.3444888,4210.6918215,0,30214,NONE,1.0043763895712805
251.0,0,131.96,4462.7349582,4504.2573637,0,32197,NONE,1.009304250843691
253.0,0,123.36,4218.3266925,4282.152326,0,30473,NONE,1.0151305572452414
255.0,0,121.325,4288.447228,4335.03481,0,30951,NONE,1.0108635082870605
256.0,0,117.936,4206.6188863,4188.0699934,455,29803,NONE,0.9955905458988908
258.0,0,120.039,4259.5065591,4207.6209102,1272,29315,NONE,0.987818859255152
259.0,0,127.154,4479.5002298,4383.1394312,2357,29743,NONE,0.9784884934352818
261.0,0,124.446,4345.4765762,4283.0389623,1529,29659,NONE,0.9856315842911296
262.0,0,127.776,4441.6062595,4428.1464179,331,31628,NONE,0.9969696004522663
264.0,0,123.423,4252.3742769,4249.1842105,78,30534,NONE,0.9992498152344376
265.0,0,131.235,4423.6247282,4455.3334967,0,31900,NONE,1.0071680511906584
267.0,0,130.403,4457.7727151,4436.9076246,512,31551,NONE,0.9953193911324096
269.0,0,118.141,4180.6737245,4170.422875,252,29833,NONE,0.997548038862749
270.0,0,125.245,4298.2245894,4260.7047122,920,29968,NONE,0.9912708430144556
272.0,0,126.56,4365.1718745,4325.1960102,980,30386,NONE,0.9908420869900848
273.0,0,125.512,4301.6075367,4316.0839399,0,30995,NONE,1.0033653472745925
275.0,0,128.211,4391.5542419,4418.554765,0,31662,NONE,1.0061482840955
277.0,0,129.283,4337.9701567,4309.6080661,696,30493,NONE,0.9934618981746116
278.0,0,131.958,4358.27838,4319.0357373,962,30355,NONE,0.990995838430128
279.0,0,132.755,4422.1366505,4414.5750116,186,31642,NONE,0.9982900485675528
281.0,0,128.653,4391.3780149,4277.9206888,2772,28666,NONE,0.9741636165879962
282.0,0,130.93,4417.2333732,4377.3392533,978,30763,NONE,0.990968527915676
285.0,0,78.026,2952.0786068,2939.4120289,311,20924,NONE,0.9957092680828948
286.0,0,133.76,5060.0023658,4814.4129372,5971,30072,NONE,0.9514645624950864
288.0,0,135.141,4839.3312186,4641.2441916,4824,29706,NONE,0.9590672723043524
289.0,0,140.055,4838.5661627,4696.6689013,3464,31149,NONE,0.9706736961677052
291.0,0,135.708,4480.4361285,4424.4163306,1373,30798,NONE,0.9874967980140016
292.0,0,133.407,4374.4763661,4373.7937182,17,31478,NONE,0.9998439475167152
294.0,0,137.245,4502.3029119,4479.1453928,568,31811,NONE,0.9948565168641158
295.0,0,130.325,4274.6785543,4266.5000772,201,30564,NONE,0.9980867620813798
297.0,0,136.558,4455.7899331,4477.9316638,0,32117,NONE,1.0049692043459049
298.0,0,134.957,4341.4025603,4370.3224533,0,31304,NONE,1.0066614170416857
300.0,0,136.112,4447.2962853,4468.9500695,0,32055,NONE,1.0048689771966788
301.0,0,137.79,4417.4922575,4445.1609816,0,31850,NONE,1.006263445975038
302.0,0,134.979,4323.8095665,4360.1999537,0,31189,NONE,1.0084162788948767
304.0,0,113.529,3929.5585531,4030.7510736,0,28453,NONE,1.025751625566228
306.0,0,134.239,4507.9814193,4435.4475268,1776,30566,NONE,0.983909895415837
307.0,0,140.435,4662.0284614,4592.1312468,1712,31744,NONE,0.9850071240064864
309.0,0,134.914,4438.0757505,4401.563837,896,31001,NONE,0.9917730305761708
310.0,0,133.0,4328.8242841,4306.2969015,553,30579,NONE,0.99479595818136
311.0,0,133.888,4426.1666603,4373.7937182,1284,30502,NONE,0.9881674265522458
313.0,0,133.542,4369.8556928,4363.6691957,152,31301,NONE,0.9985842788561204
314.0,0,133.0,4367.5389563,4353.5446732,344,31080,NONE,0.9967958424091872
316.0,0,129.362,4157.321694,4098.0620417,1452,28387,NONE,0.9857457140289322
317.0,0,129.083,4295.8566544,4181.4277907,2795,27953,NONE,0.9733629697390398
319.0,0,121.32,4060.327238,3978.5323599,2001,27104,NONE,0.979855101989196
320.0,0,129.265,4349.4733399,4244.8610235,2557,28593,NONE,0.9759482796594392
322.0,0,128.122,4387.5358395,4234.9431239,3721,27628,NONE,0.9652213175727836
323.0,0,129.44,4448.1996148,4328.4358574,2926,28912,NONE,0.9730759031133576
325.0,0,128.577,4417.2953446,4308.5618954,2657,28975,NONE,0.9753846096496755
326.0,0,138.216,4618.8707188,4503.1545236,2828,30245,NONE,0.9749470807379378
327.0,0,132.168,4381.9095908,4302.4264547,1945,29478,NONE,0.9818610734765324
