sec,hr,ve,vo2,vco2,fat,cho,phases,rer
1.0,0,36.989,1370.8036244,1367.5527358,80,9785,NONE,0.9976284797164708
4.0,0,43.749,1671.453013,1627.9964832,1062,10904,NONE,0.9740007469776238
7.0,0,56.978,1971.6781376,1983.0337806,0,14214,NONE,1.0057593796793949
9.0,0,57.142,1843.9913271,1869.9377374,0,13318,NONE,1.0140707876000723
12.0,0,55.117,1861.7800246,1821.2307991,992,12349,NONE,0.978220184466362
14.0,0,53.266,1942.8866567,1845.110823,2376,11458,NONE,0.949674967727622
17.0,0,52.21,2184.8155983,1963.4471303,5319,10062,NONE,0.8986786490483469
20.0,0,57.625,2636.0209036,2243.4115712,9332,9026,NONE,0.8510598562159292
23.0,0,66.13,3167.8500334,2607.4643664,13235,8686,NONE,0.8231022109343518
25.0,0,67.846,3288.2868696,2696.725692,13961,8777,NONE,0.8201004957721466
27.0,0,70.822,3314.5323325,2705.66578,14357,8543,NONE,0.8163039332789492
30.0,0,75.659,3594.7761958,3008.7537106,13884,11070,NONE,0.8369794242310031
32.0,0,81.181,3828.4656906,3268.0216911,13328,13349,NONE,0.8536113302840735
34.0,0,83.851,3788.62084,3236.09809,13142,13261,NONE,0.8541625638104234
36.0,0,85.485,3839.2882337,3297.4532007,12901,13883,NONE,0.8588709677372093
38.0,0,84.21,3640.6822043,3268.9264172,8930,16694,NONE,0.8978884268830384
40.0,0,92.363,4068.1229314,3642.3675807,10221,18395,NONE,0.8953435385607973
42.0,0,92.719,4062.8738584,3681.9580811,9167,19482,NONE,0.9062447443421224
43.0,0,103.37,4315.6800682,3996.806949,7708,22859,NONE,0.9261128920214428
46.0,0,73.725,3214.4378626,3105.2137167,2664,20307,NONE,0.9660207630171288
48.0,0,108.035,4621.5342343,4403.0693465,5313,27616,NONE,0.952728925779971
49.0,0,110.93,4494.4467057,4355.0619894,3402,28737,NONE,0.9689873469579184
51.0,0,107.162,4308.8540113,4261.591828,1159,29790,NONE,0.9890313797645373
53.0,0,110.308,4330.214923,4323.1165846,174,30992,NONE,0.9983607422434628
55.0,0,115.441,4322.1111555,4447.8458072,0,31318,NONE,1.0290910268561697
56.0,0,113.386,4145.3297039,4321.5831836,0,30126,NONE,1.0425185672286037
58.0,0,114.0,4231.7544656,4477.4732845,0,30858,NONE,1.0580654716376985
