sec,hr,ve,vo2,vco2,fat,cho,phases,rer
0.0,0,40.774,1636.5133786,1445.408003,4575,6905,NONE,0.8832240676434395
2.0,0,33.071,1434.5645608,1183.9806016,5921,4011,NONE,0.8253240278985707
4.0,0,45.389,1916.8806129,1607.6512417,7329,5983,NONE,0.8386809438631784
8.0,0,53.199,1918.5694602,1797.4677488,2935,10687,NONE,0.9368791623591382
10.0,0,35.791,1295.054914,1148.6744809,3508,5585,NONE,0.8869697095331047
13.0,0,47.439,1863.1533127,1616.235327,5891,7133,NONE,0.8674730715841215
16.0,0,47.267,1962.6195332,1620.5568133,8083,5506,NONE,0.8257111405885807
20.0,0,33.748,1889.547413,1352.0344827,12382,371,NONE,0.7155335046890405
23.0,0,55.406,2863.8179542,1983.1630268,19225,0,NONE,0.6924892079440823
26.0,0,54.021,2810.1397225,1909.6401035,18807,0,NONE,0.679553435798956
28.0,0,59.545,3182.9451988,2162.6863592,21301,0,NONE,0.6794607585500853
31.0,0,64.098,3373.3335367,2306.8129145,22599,0,NONE,0.6838377792777244
33.0,0,64.109,3370.9871551,2336.7687795,22633,0,NONE,0.6932001434549163
35.0,0,63.436,3302.3877761,2325.2727664,22229,0,NONE,0.7041186329565642
38.0,0,67.353,3546.6278725,2536.3781025,23270,666,NONE,0.7151520243120741
40.0,0,69.118,3546.377786,2587.820422,22154,1861,NONE,0.7297080509064523
42.0,0,75.0,3817.9160569,2846.9723336,22524,3427,NONE,0.7456875141229876
44.0,0,81.942,3997.7721118,3052.9879276,22009,5278,NONE,0.7636723260409634
46.0,0,84.313,3941.241562,3111.7542759,19440,7624,NONE,0.7895365526189485
48.0,0,81.493,3766.339245,3049.996707,16866,9117,NONE,0.8098040321378431
50.0,0,87.212,3941.7476415,3290.3565832,15425,11924,NONE,0.8347456210940691
52.0,0,86.953,3890.5349334,3239.5945159,15407,11574,NONE,0.832686139915692
54.0,0,90.706,3963.2906739,3371.0869793,14074,13524,NONE,0.8505777790915211
56.0,0,94.969,4140.7033156,3562.3640895,13775,15122,NONE,0.8603282626115422
58.0,0,96.064,4047.5471897,3549.6093917,11905,16449,NONE,0.87697788940741
60.0,0,93.619,4026.2460456,3576.6419754,10777,17500,NONE,0.8883316953042796
62.0,0,89.668,3801.4316978,3433.3607314,8852,17935,NONE,0.9031756991417172
64.0,0,93.918,4017.3639185,3645.0066123,8963,19372,NONE,0.907313025716866
66.0,0,93.801,3973.4098771,3641.5053123,8006,20077,NONE,0.9164685811265356
68.0,0,92.278,3927.4895802,3592.5610505,8076,19671,NONE,0.9147219813418462
70.0,0,87.647,3817.8641113,3530.4020352,6947,20086,NONE,0.9247060482720748
72.0,0,96.545,4174.3551892,3837.5376135,8130,21392,NONE,0.9193126697576136
74.0,0,107.1,4490.2239156,4154.8429271,8106,23692,NONE,0.925308627185648
75.0,0,110.69,4477.1897428,4224.6007102,6130,25706,NONE,0.9435831297956042
77.0,0,110.109,4287.9495126,4106.9321769,4407,26180,NONE,0.9577846392155304
79.0,0,112.596,4342.6098022,4234.8278806,2634,28462,NONE,0.9751803808057088
80.0,0,112.9,4244.5982387,4249.8893847,0,30569,NONE,1.001246559910372
82.0,0,114.6,4303.941678,4288.544284,378,30586,NONE,0.9964224900911864
84.0,0,110.702,4105.4227037,4124.3652765,0,29589,NONE,1.0046140371326264
86.0,0,106.227,3993.8595105,4019.2781936,0,28796,NONE,1.0063644409707386
87.0,0,107.093,4062.5321125,4076.5385141,0,29272,NONE,1.0034477023718542
89.0,0,112.636,4243.3136716,4303.5695676,0,30647,NONE,1.0142001983976074
91.0,0,112.931,4239.6491628,4311.2076859,0,30639,NONE,1.0168784067624923
93.0,0,112.317,4221.6384032,4357.4388701,0,30611,NONE,1.0321677164005951
94.0,0,120.175,4373.8604939,4547.774481,0,31767,NONE,1.039762124864876
96.0,0,118.771,4270.3207746,4480.2204171,0,31079,NONE,1.0491531324177077
98.0,0,114.58,4159.6071965,4383.6448023,0,30304,NONE,1.0538602794005432
100.0,0,115.186,4159.2568386,4406.7129433,0,30339,NONE,1.0594952690594823
102.0,0,84.418,3447.7171819,3680.0584364,0,25192,NONE,1.067389882128313
104.0,0,130.219,4973.4122053,5206.438275,0,36178,NONE,1.0468543647863475
105.0,0,128.981,4639.8507966,4916.0491676,0,33844,NONE,1.0595274251496176
107.0,0,125.404,4367.6918017,4700.1807782,0,31974,NONE,1.076124642395919
108.0,0,130.684,4440.647876,4820.2894201,0,32574,NONE,1.0854923773965095
110.0,0,133.541,4460.2806136,4865.1654557,0,32755,NONE,1.0907756433228557
111.0,0,131.694,4419.778893,4797.7251105,0,32421,NONE,1.085512471698208
113.0,0,126.269,4150.8592314,4527.4673102,0,30483,NONE,1.0907301495437556
115.0,0,121.595,4121.111235,4504.9194434,0,30280,NONE,1.093132212773189
116.0,0,124.157,4285.5470333,4663.8912517,0,31455,NONE,1.0882837629502489
118.0,0,121.659,4144.9936945,4512.0187304,0,30425,NONE,1.088546584856572
120.0,0,129.423,4434.2568867,4841.5350318,0,32572,NONE,1.0918481169463998
121.0,0,127.464,4299.436296,4707.944766,0,31603,NONE,1.09501442558413
123.0,0,131.111,4366.4614139,4813.0535537,0,32146,NONE,1.1022778166270606
125.0,0,109.307,3949.1005635,4406.5163215,0,29158,NONE,1.1158278323494002
127.0,0,128.554,4450.2454337,4814.5875574,0,32619,NONE,1.0818701191042133
128.0,0,127.709,4371.9337094,4743.7989219,0,32067,NONE,1.0850573767164997
130.0,0,123.183,4250.9300912,4641.2559175,0,31225,NONE,1.091821276267993
131.0,0,125.127,4285.9009453,4672.6574981,0,31471,NONE,1.0902392653810922
133.0,0,132.418,4491.6279833,4909.7580035,0,33002,NONE,1.093090973196048
135.0,0,124.957,4151.3382376,4564.7863766,0,30545,NONE,1.099593941841517
136.0,0,126.195,4203.723323,4603.4110399,0,30900,NONE,1.0950794536627024
138.0,0,131.013,4418.9862923,4864.0240078,0,32522,NONE,1.100710363432326
139.0,0,130.353,4359.6302583,4794.6435641,0,32078,NONE,1.0997821558311758
141.0,0,132.042,4344.1760932,4749.8747638,0,31921,NONE,1.0933890942485152
142.0,0,112.048,3897.7506442,4235.0434386,0,28598,NONE,1.08653524178154
144.0,0,136.824,4632.2591807,5004.9858083,0,33943,NONE,1.0804632498010778
145.0,0,138.039,4665.6903542,5052.9154124,0,34206,NONE,1.082994161378803
147.0,0,142.653,4584.604858,4990.1126721,0,33651,NONE,1.0884498940824532
148.0,0,140.211,4481.1324843,4931.5496369,0,32978,NONE,1.1005141343573466
150.0,0,140.44,4463.005789,4932.6681575,0,32878,NONE,1.105234541630571
151.0,0,142.297,4446.9910863,4936.0814499,0,32793,NONE,1.10998231255888
153.0,0,143.265,4403.0222105,4897.5827361,0,32485,NONE,1.1123229686238258
154.0,0,142.163,4374.4506775,4916.7722681,0,32355,NONE,1.1239747869119732
156.0,0,142.07,4351.3596441,4893.6789998,0,32189,NONE,1.1246321609925602
157.0,0,144.98,4506.6820457,5033.8282798,0,33283,NONE,1.1169699190567417
159.0,0,135.608,4252.5592438,4739.539499,0,31390,NONE,1.114514631609187
160.0,0,146.493,4438.7822258,4939.4553452,0,32752,NONE,1.1127951527988658
161.0,0,146.409,4426.1518002,4925.8340759,0,32660,NONE,1.112893162787011
163.0,0,147.324,4445.8541404,4973.3288019,0,32846,NONE,1.1186441670919376
164.0,0,146.25,4418.3508636,4930.3542585,0,32623,NONE,1.1158811082927054
166.0,0,144.044,4364.1757252,4866.4185815,0,32218,NONE,1.115083096539836
167.0,0,141.423,4354.7653978,4936.0593629,0,32275,NONE,1.1334845650683425
168.0,0,147.842,4509.2071429,5058.075197,0,33336,NONE,1.121721632363735
170.0,0,146.559,4434.1600704,5026.4799797,0,32864,NONE,1.133581084105195
171.0,0,146.979,4398.503513,5007.980501,0,32635,NONE,1.1385646245816696
173.0,0,147.818,4549.9782917,5030.7027887,0,33521,NONE,1.1056542396865785
174.0,0,143.958,4447.4726001,4913.7851808,0,32760,NONE,1.1048488934343328
176.0,0,137.958,4256.2850518,4650.6070579,0,31270,NONE,1.0926446422880536
177.0,0,133.292,4189.8087742,4577.778474,0,30781,NONE,1.0925984264936002
178.0,0,138.383,4312.1426144,4683.1317152,0,31635,NONE,1.0860335879340162
180.0,0,141.566,4476.4695356,4880.1382577,0,32870,NONE,1.0901756884280671
181.0,0,145.883,4574.8121865,4998.1144377,0,33609,NONE,1.092528880737255
183.0,0,88.901,3262.0181908,3528.4952632,0,23909,NONE,1.0816908603243096
185.0,0,158.558,5420.1176828,5748.5380208,0,39545,NONE,1.060592842668748
186.0,0,155.953,5011.2613865,5353.0753787,0,36623,NONE,1.0682091724691958
187.0,0,165.476,4989.3715475,5405.8754159,0,36583,NONE,1.08347822254462
189.0,0,159.448,4825.6854552,5315.8070352,0,35521,NONE,1.101565173393525
190.0,0,154.364,4558.8336166,5065.8151901,0,33627,NONE,1.1112086152155098
191.0,0,150.356,4414.5078306,4902.5431937,0,32558,NONE,1.110552610127247
