sec,hr,ve,vo2,vco2,fat,cho,phases,rer
3.0,0,25.22,950.4615215,917.9724352,792,5999,NONE,0.9658175680287128
6.0,0,21.649,815.005153,763.1859167,1256,4530,NONE,0.9364185169759288
11.0,0,26.838,1109.5036648,1055.5049586,1313,6590,NONE,0.9513307545408298
15.0,0,22.891,955.5408359,854.4365804,2427,4293,NONE,0.8941915910848829
18.0,0,23.349,1034.5338162,899.7210047,3218,4017,NONE,0.8696873805486727
22.0,0,27.175,1238.3355374,1049.6499245,4481,4136,NONE,0.8476296551287199
25.0,0,24.623,1153.3153741,944.5733836,4925,3048,NONE,0.8190070164781306
29.0,0,27.788,1340.9427816,1082.0654,6091,3153,NONE,0.8069437524462378
33.0,0,26.88,1359.2847987,1069.1712167,6794,2533,NONE,0.7865689498790391
37.0,0,32.232,1619.1553329,1277.8420915,7998,3119,NONE,0.7892029044621133
41.0,0,30.947,1646.6186124,1246.9036819,9298,1925,NONE,0.7572510552899663
45.0,0,26.159,1516.568142,1079.7755614,10053,174,NONE,0.7119861821546822
49.0,0,33.335,1984.869466,1380.7084357,13334,0,NONE,0.6956167442499214
55.0,0,40.505,2174.1760151,1617.8879601,12900,1873,NONE,0.7441384454908478
58.0,0,29.201,1614.6895789,1172.2709887,10216,709,NONE,0.7260039353809445
61.0,0,31.467,1836.1741046,1318.5518195,11931,470,NONE,0.7180973831385336
65.0,0,33.624,2003.4202916,1428.4467359,13237,277,NONE,0.7130040271076588
69.0,0,30.18,1924.0569275,1373.0218873,12688,293,NONE,0.7136077252579107
72.0,0,36.274,2168.4360047,1532.1449259,14605,0,NONE,0.7065668170880469
75.0,0,35.884,2135.3229153,1510.2497328,14371,13,NONE,0.7072699505909713
79.0,0,35.194,2083.524492,1484.5559557,13788,265,NONE,0.7125214805010317
82.0,0,36.515,2074.0445851,1502.5604472,13192,836,NONE,0.7244590873284212
86.0,0,37.692,2314.0986679,1723.5653656,13697,2029,NONE,0.7448106640863773
89.0,0,45.491,2376.5085551,1818.2922287,13008,3218,NONE,0.7651107439937193
93.0,0,41.419,2081.6117342,1646.9804282,10190,4109,NONE,0.7912044312302859
96.0,0,41.923,2093.4926374,1676.4787207,9798,4614,NONE,0.8008046891352301
99.0,0,44.991,2207.52614,1781.0119376,10035,5183,NONE,0.8067908711604204
102.0,0,41.982,2058.7238733,1675.6203738,9029,5187,NONE,0.8139121499155153
105.0,0,40.729,2004.3113822,1612.9336956,9204,4607,NONE,0.8047320939871077
108.0,0,41.287,2071.5085425,1668.0108625,9490,4785,NONE,0.8052155365417711
112.0,0,40.448,2059.4218784,1673.8018089,9086,5131,NONE,0.8127532422839002
116.0,0,31.077,1792.6085377,1436.0451641,8379,3963,NONE,0.8010924492987814
120.0,0,41.158,2183.0218326,1751.6510583,10139,4895,NONE,0.8023974071820283
123.0,0,38.382,2021.7206248,1628.8351136,9242,4692,NONE,0.805667753308464
127.0,0,39.928,2069.8404217,1662.1034887,9585,4672,NONE,0.8030104501171554
130.0,0,41.131,2167.5498513,1757.7771212,9651,5307,NONE,0.8109511853421796
135.0,0,43.907,2154.6510953,1814.076886,8078,6896,NONE,0.8419353323408584
138.0,0,36.055,1831.2982145,1503.9764549,7727,4940,NONE,0.8212624481319832
141.0,0,41.222,2087.5442198,1720.8348544,8663,5786,NONE,0.8243345640672785
145.0,0,39.85,2015.0677414,1658.636656,8418,5526,NONE,0.8231170704204892
148.0,0,40.392,2020.9700392,1654.2377394,8652,5318,NONE,0.8185364984702244
152.0,0,34.576,1923.1409731,1564.3813311,8454,4824,NONE,0.8134511993565927
155.0,0,49.275,2494.6509608,2043.5539164,10644,6603,NONE,0.8191742847042058
158.0,0,50.341,2447.4301663,2034.3022612,9775,7192,NONE,0.8311993082423419
161.0,0,50.959,2402.5311836,2031.1660101,8815,7895,NONE,0.8454275324145683
163.0,0,47.121,2234.8869435,1867.0422494,8712,6797,NONE,0.835407918431915
167.0,0,48.653,2285.9687193,2020.594884,6355,9684,NONE,0.883911869370959
170.0,0,49.298,2261.3889438,1967.6041672,7013,8804,NONE,0.8700865778063241
174.0,0,48.955,2288.8229132,2034.1589406,6105,9971,NONE,0.888735833982038
177.0,0,47.034,2226.5121113,1955.6037164,6479,9123,NONE,0.8783261076707892
180.0,0,46.486,2254.8410904,1965.6517081,6906,8871,NONE,0.8717473335344004
183.0,0,30.82,1704.3603313,1399.3560003,7200,4588,NONE,0.8210446902578645
186.0,0,54.232,2762.5333053,2328.9567389,10287,8917,NONE,0.8430510989430713
189.0,0,50.822,2492.1567111,2083.4904061,9680,7616,NONE,0.8360190179133556
192.0,0,51.195,2391.2913712,2075.9308015,7525,9193,NONE,0.8681212279280942
196.0,0,47.52,2263.5722885,1954.795738,7360,8449,NONE,0.8635888272405841
199.0,0,50.645,2402.2911379,2091.0961024,7429,9374,NONE,0.8704590669338953
202.0,0,53.384,2473.2889849,2155.8595234,7580,9725,NONE,0.8716569460997158
205.0,0,48.017,2287.5738898,2040.3377946,5931,10148,NONE,0.8919221379897742
209.0,0,42.991,2164.3812837,1906.2969915,6176,8999,NONE,0.8807583977261132
211.0,0,58.657,2734.7522,2404.0485965,7910,11256,NONE,0.8790736493419768
215.0,0,55.928,2473.1593258,2237.9931139,5658,11776,NONE,0.9049126316098014
217.0,0,48.978,2235.2813582,1981.2423423,6087,9605,NONE,0.8863503178389277
220.0,0,53.201,2506.102414,2223.9998674,6761,10837,NONE,0.8874337516998217
223.0,0,51.12,2341.1808817,2051.7092876,6920,9478,NONE,0.8763565872407919
226.0,0,52.541,2477.5888108,2179.2618123,7137,10229,NONE,0.8795897861664658
229.0,0,53.441,2537.0475053,2224.4603471,7473,10298,NONE,0.8767909715734561
234.0,0,47.155,2207.2951613,2020.2957397,4510,11087,NONE,0.9152811889960988
236.0,0,51.732,2634.9769573,2242.3083124,9333,9017,NONE,0.8509783382309505
239.0,0,54.693,2735.5098864,2334.0679352,9546,9513,NONE,0.8532478521844029
242.0,0,51.788,2513.5024426,2181.2224117,7928,9643,NONE,0.8678019860779268
